ID,run,temperature,group,day,biomass
0,0,8.143,1,91,174.1817070979288
1,0,8.143,2,91,7.610283093608007
2,0,8.143,3,91,472.0626940192022
3,0,8.143,4,91,37.92230691294208
4,0,8.143,5,91,627.4947710249368
5,0,8.143,6,91,0.2639306686737241
6,0,8.143,7,91,1.2151944318957302e-06
7,0,8.143,8,91,1.0337263689655007
8,0,8.143,9,91,4.069817270668048
9,0,8.143,10,91,1900.7760615390805
10,0,8.143,11,91,11001.410970297338
11,0,8.143,12,91,286.4468258121189
12,0,8.143,13,91,392.4767021016031
13,0,8.143,14,91,1.882186841214416
14,0,14.111,1,182,4284.833364597505
15,0,14.111,2,182,2.27496194583113
16,0,14.111,3,182,216.984060720008
17,0,14.111,4,182,3253.9121179759286
18,0,14.111,5,182,949.926433432086
19,0,14.111,6,182,1.740264268543476e-07
20,0,14.111,7,182,1.555856929270227e-26
21,0,14.111,8,182,0.0111064200588748
22,0,14.111,9,182,203.6334089724851
23,0,14.111,10,182,434.166027943735
24,0,14.111,11,182,3408.614495156691
25,0,14.111,12,182,247.5309378516372
26,0,14.111,13,182,2183.6878581147284
27,0,14.111,14,182,79.69477447717934
28,0,18.822,1,273,281.24408440852034
29,0,18.822,2,273,8.652717257762303e-05
30,0,18.822,3,273,23.48709202811077
31,0,18.822,4,273,2537.877466938268
32,0,18.822,5,273,4.537119012237754
33,0,18.822,6,273,5.76604210907647e-16
34,0,18.822,7,273,5.742212604780539e-52
35,0,18.822,8,273,5.212225163689547e-06
36,0,18.822,9,273,1354.0859552441884
37,0,18.822,10,273,344.53179180701164
38,0,18.822,11,273,265.3937125217676
39,0,18.822,12,273,234.1517208596796
40,0,18.822,13,273,10420.090738745464
41,0,18.822,14,273,8.435923835817473
42,0,7.143,1,364,304.9951351479009
43,0,7.143,2,364,3.297534418742376e-07
44,0,7.143,3,364,63.1350379176824
45,0,7.143,4,364,183.39739025973483
46,0,7.143,5,364,2.04349272012606
47,0,7.143,6,364,8.174743347909535e-22
48,0,7.143,7,364,2.0485579740580422e-67
49,0,7.143,8,364,1.214922693616045e-07
50,0,7.143,9,364,1755.8119131692629
51,0,7.143,10,364,929.2191610498244
52,0,7.143,11,364,343.09437339374387
53,0,7.143,12,364,223.98846047420568
54,0,7.143,13,364,11939.539808720943
55,0,7.143,14,364,3.178393274616675
56,0,9.506,1,455,202.39631528649247
57,0,9.506,2,455,1.287259963015607e-07
58,0,9.506,3,455,117.93154371345103
59,0,9.506,4,455,79.38605718706438
60,0,9.506,5,455,0.2545028188834899
61,0,9.506,6,455,7.13737147472809e-27
62,0,9.506,7,455,2.082055590342628e-81
63,0,9.506,8,455,4.837363444304372e-09
64,0,9.506,9,455,1007.2851759099058
65,0,9.506,10,455,1415.0886525889675
66,0,9.506,11,455,166.18830320126986
67,0,9.506,12,455,216.25645893569063
68,0,9.506,13,455,12820.26276352937
69,0,9.506,14,455,2.639234334313844
70,0,16.499,1,546,41.89475745389216
71,0,16.499,2,546,1.3885715823959936e-07
72,0,16.499,3,546,307.5257467234284
73,0,16.499,4,546,20.744351021892527
74,0,16.499,5,546,0.1690636418960964
75,0,16.499,6,546,9.70327963255945e-37
76,0,16.499,7,546,1.611134318928972e-103
77,0,16.499,8,546,2.5544120032724797e-12
78,0,16.499,9,546,491.2551811425396
79,0,16.499,10,546,1263.7657406155772
80,0,16.499,11,546,113.7659390575962
81,0,16.499,12,546,210.3741025812344
82,0,16.499,13,546,13855.379890927708
83,0,16.499,14,546,1.0786183836683338
84,0,4.738,1,637,35.515927400132995
85,0,4.738,2,637,1.1233701700035132e-07
86,0,4.738,3,637,501.70508985658455
87,0,4.738,4,637,5.154535650282261
88,0,4.738,5,637,0.1977448329340685
89,0,4.738,6,637,5.936410781475764e-48
90,0,4.738,7,637,9.187632348793112e-129
91,0,4.738,8,637,5.32381033633265e-16
92,0,4.738,9,637,169.58368164960314
93,0,4.738,10,637,785.8459025338647
94,0,4.738,11,637,181.89316833547937
95,0,4.738,12,637,205.89892022767583
96,0,4.738,13,637,14698.90480270568
97,0,4.738,14,637,0.3165435499555853
98,0,6.13,1,728,169.92479218996485
99,0,6.13,2,728,5.1946055240192374e-08
100,0,6.13,3,728,311.93262067435603
101,0,6.13,4,728,0.9535625863816916
102,0,6.13,5,728,0.0178290907111518
103,0,6.13,6,728,3.462307012520549e-53
104,0,6.13,7,728,5.600637693393865e-143
105,0,6.13,8,728,1.7049773480459644e-17
106,0,6.13,9,728,76.15535479196403
107,0,6.13,10,728,784.7043908702334
108,0,6.13,11,728,276.5201989520167
109,0,6.13,12,728,202.4942884930841
110,0,6.13,13,728,15041.821735603851
111,0,6.13,14,728,1.714820894117436
112,0,10.226,1,819,339.9931385498114
113,0,10.226,2,819,2.297883142765984e-08
114,0,10.226,3,819,205.48374321017667
115,0,10.226,4,819,0.5173398829537166
116,0,10.226,5,819,0.0035075560553955
117,0,10.226,6,819,4.3127339145292846e-57
118,0,10.226,7,819,6.584929670546441e-156
119,0,10.226,8,819,2.0851765722716053e-18
120,0,10.226,9,819,34.5267961185248
121,0,10.226,10,819,749.1977115603737
122,0,10.226,11,819,196.7398815427351
123,0,10.226,12,819,199.9041108573108
124,0,10.226,13,819,15417.983544003591
125,0,10.226,14,819,4.968049170199607
126,0,20.657,1,910,196.069697067346
127,0,20.657,2,910,1.0154849006475149e-08
128,0,20.657,3,910,156.00809920770482
129,0,20.657,4,910,157.85315692935444
130,0,20.657,5,910,0.0043532497479803
131,0,20.657,6,910,1.461068037757706e-65
132,0,20.657,7,910,9.775392766783127e-178
133,0,20.657,8,910,6.938089278979597e-21
134,0,20.657,9,910,23.863174056651665
135,0,20.657,10,910,383.4464625409427
136,0,20.657,11,910,53.93413128193272
137,0,20.657,12,910,197.933554066485
138,0,20.657,13,910,16255.06214489413
139,0,20.657,14,910,7.970805815763377
140,0,8.307,1,1001,1.9130796066405744
141,0,8.307,2,1001,3.9194073010300344e-09
142,0,8.307,3,1001,129.83793148493675
143,0,8.307,4,1001,28.768722217245205
144,0,8.307,5,1001,0.0014804709394103
145,0,8.307,6,1001,1.5895226144693254e-78
146,0,8.307,7,1001,1.8838591069450072e-202
147,0,8.307,8,1001,1.4455329459616795e-25
148,0,8.307,9,1001,72.92992031488845
149,0,8.307,10,1001,430.0885103978459
150,0,8.307,11,1001,172.04846990390752
151,0,8.307,12,1001,196.43439276872704
152,0,8.307,13,1001,16671.97726613537
153,0,8.307,14,1001,0.0242245868350541
154,0,5.134,1,1092,13.883522993847102
155,0,5.134,2,1092,2.179534359439217e-09
156,0,5.134,3,1092,147.11187328501492
157,0,5.134,4,1092,0.0830896681549721
158,0,5.134,5,1092,0.000254688966209
159,0,5.134,6,1092,7.749136840574499e-85
160,0,5.134,7,1092,1.0700411899978104e-216
161,0,5.134,8,1092,1.1034492535361431e-27
162,0,5.134,9,1092,41.02749595128633
163,0,5.134,10,1092,561.9959152670655
164,0,5.134,11,1092,251.4690406466572
165,0,5.134,12,1092,195.29385999790875
166,0,5.134,13,1092,16772.959720803203
167,0,5.134,14,1092,0.1310654910254015
168,0,9.958,1,1183,217.8798455327214
169,0,9.958,2,1183,1.2135861084210119e-09
170,0,9.958,3,1183,156.4524547247978
171,0,9.958,4,1183,0.0144491745303225
172,0,9.958,5,1183,1.5840578010984647e-05
173,0,9.958,6,1183,6.414055915346005e-92
174,0,9.958,7,1183,4.175880574244104e-231
175,0,9.958,8,1183,3.285321804099315e-30
176,0,9.958,9,1183,17.245725373459578
177,0,9.958,10,1183,606.6091868614687
178,0,9.958,11,1183,120.97216895110483
179,0,9.958,12,1183,194.42616483845143
180,0,9.958,13,1183,16950.049762005958
181,0,9.958,14,1183,3.2869582089720693
182,0,11.061,1,1274,160.64237685252735
183,0,11.061,2,1274,3.9988369672976627e-10
184,0,11.061,3,1274,108.02715367308517
185,0,11.061,4,1274,0.2098786470407685
186,0,11.061,5,1274,5.723460982883943e-06
187,0,11.061,6,1274,2.730669607181559e-102
188,0,11.061,7,1274,1.1503625958582223e-254
189,0,11.061,8,1274,1.377575709076473e-33
190,0,11.061,9,1274,5.435636157389216
191,0,11.061,10,1274,410.7551473101325
192,0,11.061,11,1274,45.97162934850003
193,0,11.061,12,1274,193.7660392296051
194,0,11.061,13,1274,17618.666906362167
195,0,11.061,14,1274,2.778764553837499
196,0,9.261,1,1365,3.936098612230738
197,0,9.261,2,1365,1.18825328643652e-10
198,0,9.261,3,1365,90.00644845028
199,0,9.261,4,1365,57.7759458739289
200,0,9.261,5,1365,1.2193175522155011e-06
201,0,9.261,6,1365,4.2871280206979565e-113
202,0,9.261,7,1365,6.9937836287961234e-279
203,0,9.261,8,1365,4.097331076411947e-37
204,0,9.261,9,1365,8.087087562002232
205,0,9.261,10,1365,442.9144785646772
206,0,9.261,11,1365,91.1168524279884
207,0,9.261,12,1365,193.2638284995978
208,0,9.261,13,1365,17936.199032094115
209,0,9.261,14,1365,0.0599751105987065
210,0,-1.631,1,1456,1.0752520933192968
211,0,-1.631,2,1456,5.519653360373209e-11
212,0,-1.631,3,1456,109.35901218615622
213,0,-1.631,4,1456,18.607741240627902
214,0,-1.631,5,1456,1.6824847441128228e-07
215,0,-1.631,6,1456,3.1707041885535664e-119
216,0,-1.631,7,1456,3.928025375572877e-293
217,0,-1.631,8,1456,3.858240781955123e-39
218,0,-1.631,9,1456,11.25281505916451
219,0,-1.631,10,1456,572.6946004684236
220,0,-1.631,11,1456,188.76251121362264
221,0,-1.631,12,1456,192.8817563394597
222,0,-1.631,13,1456,18008.49108453512
223,0,-1.631,14,1456,0.0060291700881886
224,0,5.399,1,1547,4.072159126422023
225,0,5.399,2,1547,3.2228721916531e-11
226,0,5.399,3,1547,148.7584193277916
227,0,5.399,4,1547,4.601612563267786
228,0,5.399,5,1547,9.01455526501105e-08
229,0,5.399,6,1547,2.028359366056677e-123
230,0,5.399,7,1547,6.577709146513918e-306
231,0,5.399,8,1547,2.797502235105224e-40
232,0,5.399,9,1547,10.295095043203862
233,0,5.399,10,1547,682.9879064209766
234,0,5.399,11,1547,266.6594696760954
235,0,5.399,12,1547,192.5910832677185
236,0,5.399,13,1547,18072.984027788338
237,0,5.399,14,1547,0.0422509611054753
238,0,14.8,1,1638,19.4974419987486
239,0,14.8,2,1638,2.861017346739661e-11
240,0,14.8,3,1638,226.3666977925608
241,0,14.8,4,1638,44.19396396094695
242,0,14.8,5,1638,3.646962740968577e-07
243,0,14.8,6,1638,1.0294043479190671e-132
244,0,14.8,7,1638,2e-323
245,0,14.8,8,1638,3.3548590659805617e-43
246,0,14.8,9,1638,15.49989489496149
247,0,14.8,10,1638,639.3498038265436
248,0,14.8,11,1638,194.57640945371995
249,0,14.8,12,1638,192.3699448455815
250,0,14.8,13,1638,18330.9206161662
251,0,14.8,14,1638,0.501950632395556
252,0,17.106,1,1729,12.76408569644011
253,0,17.106,2,1729,2.353262525694749e-11
254,0,17.106,3,1729,276.7631254303872
255,0,17.106,4,1729,35.75996294181422
256,0,17.106,5,1729,2.8575773122208705e-05
257,0,17.106,6,1729,5.896251509921698e-143
258,0,17.106,7,1729,2e-323
259,0,17.106,8,1729,1.8960136040533182e-46
260,0,17.106,9,1729,26.39372234234872
261,0,17.106,10,1729,488.3030258298219
262,0,17.106,11,1729,174.15868433884162
263,0,17.106,12,1729,192.2017070330714
264,0,17.106,13,1729,18736.255431115635
265,0,17.106,14,1729,0.4205398330833143
266,0,3.801,1,1820,17.155724507319547
267,0,3.801,2,1820,1.1089196687642585e-11
268,0,3.801,3,1820,197.36929013276912
269,0,3.801,4,1820,15.910634763603618
270,0,3.801,5,1820,9.53584245287843e-06
271,0,3.801,6,1820,1.0020873366180005e-147
272,0,3.801,7,1820,2e-323
273,0,3.801,8,1820,8.659901607039532e-48
274,0,3.801,9,1820,27.67336073377156
275,0,3.801,10,1820,568.7660234689079
276,0,3.801,11,1820,305.06518284449265
277,0,3.801,12,1820,192.0737149759489
278,0,3.801,13,1820,18898.41083234146
279,0,3.801,14,1820,0.1675191865126962
280,0,4.2620000000000005,1,1911,55.67603086358872
281,0,4.2620000000000005,2,1911,5.963043315880221e-12
282,0,4.2620000000000005,3,1911,180.40270594571177
283,0,4.2620000000000005,4,1911,38.065000102392965
284,0,4.2620000000000005,5,1911,9.369844049950518e-07
285,0,4.2620000000000005,6,1911,1.2265172781143894e-153
286,0,4.2620000000000005,7,1911,2e-323
287,0,4.2620000000000005,8,1911,1.4681665351359189e-49
288,0,4.2620000000000005,9,1911,34.71073370263783
289,0,4.2620000000000005,10,1911,655.6603655313825
290,0,4.2620000000000005,11,1911,286.9883203220254
291,0,4.2620000000000005,12,1911,191.9763411071257
292,0,4.2620000000000005,13,1911,19058.770274792267
