Variable,RMSE,Bias,EF
POMSoil155,1.641936515580501,1.1928591188646525,-1.201536894202389
MAOMSoil155,1.7817568893731162,0.8598148607193412,-0.2982208056303559
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.003978530415403899,-0.0030392661468623713,0.8626286811234525
bactSoil155,5.830347702419278,-5.808955426238258,-136.23862499047297
fungiSoil155,0.068434362566118,-0.036009775683762894,-0.5712527907088283
bactSubstrate155,0.05954931644937928,-0.04101858287389357,-1.002983737333944
fungiSubstrate155,0.03796527789675997,-0.027243756648484323,-0.782137959687065
respSoil1,0.11607824790684683,0.10164717235933904,-3.0995765390386323
respSoil15,0.37339751965951407,-0.37169077525056565,-124.54177403475457
respSoil29,0.3163427437096077,-0.3093466426757422,-22.763210297979295
respSoil43,0.36969870596513404,-0.35710212359551596,-14.555672209505977
respSoil71,0.3768600401844016,-0.36256224167895024,-15.712674055062259
respSoil99,0.34805336518873453,-0.3421129210630415,-27.652081199549347
respSoil127,0.29443287834535425,-0.29156014372610534,-70.89231169784624
respSoil155,0.31271122709296806,-0.30884431824413794,-61.752888676972525
respSubstrate1,0.06953315683217103,-0.05939956812767513,-2.692303695679365
respSubstrate15,0.07822929488826388,-0.06717272495255328,-2.800579355592224
respSubstrate29,0.06997966377519826,-0.06000320322543699,-2.7698707120883794
respSubstrate43,0.07685570246166443,-0.06621633622062283,-2.8720285483830126
respSubstrate71,0.0787010039289535,-0.06735635035685131,-2.724228378728454
respSubstrate99,0.08595016891438734,-0.072250685124605,-2.379272251075832
respSubstrate127,0.08783952191285799,-0.07529380686832324,-2.733035112591094
respSubstrate155,0.10632892083557009,-0.09163320806861833,-2.8534025805682357
Mean EF,,,-21.035442065232566
