Variable,RMSE,Bias,EF
POMSoil155,1.238944400151883,-0.21187255655262338,0.003920973984952836
MAOMSoil155,1.6956671698679266,0.041796277147543304,-0.001538601641482007
POMSubstrate155,0.006457782238606407,-0.005551142875,-2.8302584983157146
MAOMSubstrate155,0.007409142879264411,-0.00634539371106696,0.540438621403736
MB155,147.33621268669924,146.18677060097605,-81.73761891447035
FB155,0.31666374932201186,-0.28273230421587947,-4.129843403000849
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.20131495191203636,-0.19549251056567457,-10.185626648100136
respSoil15,0.20405630635937977,-0.20288839821505913,-62.46781593636777
respSoil29,0.07766550656865055,-0.05267113550416415,-0.7817850186994695
respSoil43,0.07808972402902296,-0.008181595140245532,0.42048714456451075
respSoil71,0.07919031594915439,0.006575290719377867,0.2500550102493134
respSoil99,0.08134046664173211,0.051243304965529146,-0.6707976395230939
respSoil127,0.13317501973216,0.12789195324354366,-12.288266391268266
respSoil155,0.13661255140109707,0.12910891709792902,-8.825730510070128
respSubstrate1,0.014022669113390882,0.005462782954492305,0.8555970958077012
respSubstrate15,0.06452617736086314,-0.05503705001142957,-1.573625127186622
respSubstrate29,0.06040314920452353,-0.05187906753436948,-1.856139863021781
respSubstrate43,0.06684773596088191,-0.05744310460801259,-1.885248846011117
respSubstrate71,0.06451186850640979,-0.05468316164439786,-1.4755407798755527
respSubstrate99,0.06918856649576369,-0.05723066595726077,-1.1721484278935304
respSubstrate127,0.06772232566098516,-0.05774294314903895,-1.2056066934142544
respSubstrate155,0.08425525834635028,-0.07233068927487463,-1.3786233930553404
PE1,0.04376850294437939,-0.002442607363352907,0.43209019210940713
PE15,0.01993068678617987,-0.006089163273106941,0.26431803484084315
PE29,0.051653863910222135,0.009316835690746613,0.15225126768498354
PE43,0.05729809624257031,-0.02926572399831061,0.4933175719509233
PE71,0.06960792676904878,0.02651705726309759,0.19510096278297084
PE99,0.06689311743400304,-0.027475861762861625,-0.21046855706506884
PE127,0.05051649565156197,-0.03516361843735765,-1.0101303324661606
PE155,0.065196727486945,-0.05098100810085861,-1.713661104964522
Mean EF,,,-6.459763260367729
