Variable,RMSE,Bias,EF
POMSoil155,1.1975865162200248,0.50563354562883,-0.17118914980707745
MAOMSoil155,1.670297352842223,0.5879178182994496,-0.14087813564291718
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.0018161607094341805,-0.0011117828628717174,0.9713740930848995
MB155,48.59169885111995,-44.88553185268442,-6.298547795239505
FB155,0.350437128456656,-0.31866112788624823,-5.0599034549818525
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.1922282308696245,-0.18514280813761658,-10.242726576482577
respSoil15,0.23055861057097216,-0.2283753607170463,-46.86390153178716
respSoil29,0.14501514594671486,-0.12887396274900487,-3.993626837392517
respSoil43,0.17686113266244397,-0.1609378060101176,-2.5600633506948673
respSoil71,0.18748868041472644,-0.1691385716803377,-3.136527043179435
respSoil99,0.17502579218041556,-0.16246274420958048,-6.2455040402179725
respSoil127,0.10802405312201191,-0.10217694820440855,-8.67722359836673
respSoil155,0.11983916890394039,-0.11296296162222892,-8.216040016051716
respSubstrate1,0.03635209475913576,-0.029809833251087815,-0.009188759387872114
respSubstrate15,0.06962792153350988,-0.059623830118187615,-2.010771773740821
respSubstrate29,0.06291850576269613,-0.05377802657937063,-2.047470803058933
respSubstrate43,0.0689982929083399,-0.05934780138259064,-2.120779251189535
respSubstrate71,0.06814389058678326,-0.05808090661389363,-1.7920912732454726
respSubstrate99,0.07309039685822372,-0.06066930055553014,-1.4437138656170236
respSubstrate127,0.0723714054382333,-0.061697976238525506,-1.534055727420173
respSubstrate155,0.08903664970157621,-0.07655674064018443,-1.7019617170514945
PE1,0.06214281092892579,-0.0392121130003653,-0.31484344701371225
PE15,0.041595464364252224,0.028628478461646005,-0.6975598249225485
PE29,0.06310045302213069,0.02310354468100713,-0.2295754856903105
PE43,0.07092598524781166,-0.05019900168774392,0.14996612427190525
PE71,0.07453007371912902,0.03441609562289427,0.12165190851124019
PE99,0.06864048802918435,-0.026190495703980528,-0.1738601617054154
PE127,0.04765168543883658,-0.03340826531697288,-1.007065254267674
PE155,0.060399922026625655,-0.04701913561594635,-1.6154176383571257
Mean EF,,,-3.996168870329949
