        
        123 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -5694.480483140739
        mean EF = -7.767967361234198
        Calibration ran for 14:27:31
                     Variable        RMSE        Bias         EF
0          POMSoil155    1.182113    0.428160  -0.141120
1         MAOMSoil155    1.813513    0.915903  -0.344909
2     POMSubstrate155    0.006349   -0.005456  -2.823572
3    MAOMSubstrate155    0.036704    0.031767 -10.691880
4               MB155  140.152006 -138.995155 -59.717087
5               FB155    0.494659    0.463939 -11.074164
6    bactSubstrate155         NaN         NaN        NaN
7   fungiSubstrate155         NaN         NaN        NaN
8           respSoil1    0.289023    0.283643 -24.415627
9          respSoil15    0.074917   -0.070588  -4.053623
10         respSoil29    0.082778   -0.049758  -0.627126
11         respSoil43    0.154618   -0.121463  -1.720907
12         respSoil71    0.188567   -0.164526  -3.184256
13         respSoil99    0.180805   -0.168637  -6.731853
14        respSoil127    0.139303   -0.134825 -15.092731
15        respSoil155    0.168658   -0.163895 -17.254151
16     respSubstrate1    0.030667   -0.024606   0.281803
17    respSubstrate15    0.061083   -0.052150  -1.317126
18    respSubstrate29    0.058348   -0.049805  -1.620805
19    respSubstrate43    0.067604   -0.058153  -1.995893
20    respSubstrate71    0.071249   -0.060816  -2.052317
21    respSubstrate99    0.078926   -0.065916  -1.849510
22   respSubstrate127    0.080536   -0.068864  -2.138048
23   respSubstrate155    0.098850   -0.085109  -2.330382
24            Mean EF         NaN         NaN  -7.767967
        
