\        
        2 parameter sets accepted out of 3 tries
        converged = False
        best likelihood = -4757.9217491520985
        mean EF = -217.2185864536058
        Calibration ran for 00:00:19
                     Variable      RMSE      Bias           EF
0          POMSoil155  1.148884  0.371105    -0.077869
1         MAOMSoil155  1.648822  0.562123    -0.111729
2     POMSubstrate155  0.006349 -0.005456    -2.823572
3    MAOMSubstrate155  0.005432  0.004516     0.743929
4         bactSoil155  3.808862 -3.738722   -57.570355
5        fungiSoil155  0.072389 -0.042111    -0.758083
6    bactSubstrate155  3.010777  2.530967 -5119.129368
7   fungiSubstrate155  0.035133 -0.024280    -0.526165
8           respSoil1  0.069706 -0.024351    -0.478351
9          respSoil15  0.048919 -0.035734    -1.154807
10         respSoil29  0.075039  0.037500    -0.337086
11         respSoil43  0.088952 -0.016941     0.099455
12         respSoil71  0.111802 -0.043659    -0.470895
13         respSoil99  0.092414 -0.042223    -1.019935
14        respSoil127  0.077950 -0.008681    -4.039002
15        respSoil155  0.097389 -0.053166    -5.086447
16     respSubstrate1  0.069614 -0.059470    -2.700867
17    respSubstrate15  0.077966 -0.066943    -2.775005
18    respSubstrate29  0.069171 -0.059298    -2.683270
19    respSubstrate43  0.075500 -0.065040    -2.736674
20    respSubstrate71  0.076395 -0.065338    -2.509212
21    respSubstrate99  0.082851 -0.069526    -2.139954
22   respSubstrate127  0.084020 -0.071989    -2.415477
23   respSubstrate155  0.101990 -0.087873    -2.545337
24            Mean EF       NaN       NaN  -217.218586
        
