Variable,RMSE,Bias,EF
POMSoil155,1.1364030184664378,0.3358432804671481,-0.054576288748592106
MAOMSoil155,1.73246009324839,0.7461328766456479,-0.22737748014169012
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.002397966816278935,-0.001680033815363049,0.950095806587217
MB155,30.78728109820983,-23.022196446897613,-1.9299146159939058
FB155,0.16547925499496735,0.010757703224608648,-0.3512403117689118
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.14583725326789063,-0.13620831023548513,-5.471042660456495
respSoil15,0.18894765611211087,-0.18703190120867186,-31.146109640415332
respSoil29,0.1143164220192506,-0.0960395832630288,-2.103177398149557
respSoil43,0.15439743446153048,-0.13344650779870118,-1.7131454800569044
respSoil71,0.145902129010987,-0.12259010680663103,-1.5050074479289441
respSoil99,0.11369248146914178,-0.09267320177284186,-2.0572291379742733
respSoil127,0.05090919981414231,-0.036615716476885295,-1.149326439769617
respSoil155,0.06221805600977517,-0.045646744095805526,-1.4841604885452888
respSubstrate1,0.05958556950763918,-0.050604796596178406,-1.7114132265311208
respSubstrate15,0.06532299962322714,-0.055792676700222844,-1.6499837567984206
respSubstrate29,0.05560123752546263,-0.047237020688566736,-1.3798614212689557
respSubstrate43,0.061291139293640065,-0.052540913136720255,-1.4625312264220787
respSubstrate71,0.06139197875920653,-0.052099087440657686,-1.2662041138473197
respSubstrate99,0.06792504415814936,-0.055863830246015544,-1.110520485427612
respSubstrate127,0.06830961917137528,-0.0580884449797225,-1.2575941779531012
respSubstrate155,0.08562450474649372,-0.07358644283822897,-1.4988357852116851
PE1,0.06410099587329672,-0.041747229887284326,-0.3990131989822272
PE15,0.028605524662750372,0.013761032379040136,0.19715266551054722
PE29,0.05420992067089718,0.008189847166465062,0.09249759423851744
PE43,0.08895223908618774,-0.06892191774791581,-0.3370241381469674
PE71,0.06995243998730838,0.028427653799670705,0.22623461819590351
PE99,0.06591607998688127,-0.014885621450447865,-0.08252611636974527
PE127,0.047815202718713555,-0.033312971258339374,-1.0208634207508833
PE155,0.06645503745575979,-0.052841792116798146,-2.16609620057665
Mean EF,,,-2.1964121898986053
