        
        166 parameter sets accepted out of 60000 tries
        converged = False
        best likelihood = -3360.1434525362347
        mean EF = -6.676997242283875
        Calibration ran for 19:08:33
                     Variable        RMSE        Bias          EF
0          POMSoil155    1.110881   -0.183885   -0.007739
1         MAOMSoil155    1.588632    0.280408   -0.032044
2     POMSubstrate155    0.006349   -0.005456   -2.823572
3    MAOMSubstrate155    0.008767   -0.007513    0.332977
4               MB155  186.000814  184.992493 -105.940443
5               FB155    0.171540   -0.086351   -0.452039
6    bactSubstrate155         NaN         NaN         NaN
7   fungiSubstrate155         NaN         NaN         NaN
8           respSoil1    0.158577   -0.151248   -6.651015
9          respSoil15    0.164637   -0.162694  -23.406090
10         respSoil29    0.061732   -0.007872    0.095089
11         respSoil43    0.076787    0.021824    0.328923
12         respSoil71    0.097056    0.050604   -0.108476
13         respSoil99    0.117790    0.098082   -2.281553
14        respSoil127    0.184502    0.181064  -27.229999
15        respSoil155    0.187483    0.183022  -21.556493
16     respSubstrate1    0.015244    0.008470    0.822536
17    respSubstrate15    0.064078   -0.054775   -1.549926
18    respSubstrate29    0.059051   -0.050402   -1.684308
19    respSubstrate43    0.064846   -0.055729   -1.756453
20    respSubstrate71    0.062826   -0.053396   -1.373324
21    respSubstrate99    0.066760   -0.054921   -1.038769
22   respSubstrate127    0.065249   -0.055419   -1.059840
23   respSubstrate155    0.081602   -0.070067   -1.269583
24                PE1    0.043960   -0.003396    0.342029
25               PE15    0.023421   -0.002018    0.461781
26               PE29    0.053916    0.011451    0.102306
27               PE43    0.061535   -0.035141    0.360159
28               PE71    0.074871    0.030341    0.113586
29               PE99    0.069033   -0.026935   -0.187310
30              PE127    0.048778   -0.034597   -1.103096
31              PE155    0.062016   -0.048545   -1.757232
32            Mean EF         NaN         NaN   -6.676997
        
