        
        4170 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3420.5400695598028
        mean EF = -2.0494542747423377
        Calibration ran for 07:18:44
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.125217   0.342535  -0.033918
1         MAOMSoil155   1.752653   0.793442  -0.256156
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.001802  -0.000872   0.971812
4               MB155  69.488026 -64.921476 -13.925615
5               FB155   0.352746  -0.310731  -5.140035
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.077624  -0.058545  -0.833278
9          respSoil15   0.127054  -0.123781 -13.535137
10         respSoil29   0.079132  -0.047621  -0.486944
11         respSoil43   0.123472  -0.100410  -0.735125
12         respSoil71   0.139787  -0.116555  -1.299432
13         respSoil99   0.125862  -0.104177  -2.746748
14        respSoil127   0.070404  -0.062402  -3.110561
15        respSoil155   0.093706  -0.088123  -4.634798
16     respSubstrate1   0.059758  -0.050735  -1.727173
17    respSubstrate15   0.065306  -0.055696  -1.648625
18    respSubstrate29   0.055867  -0.047296  -1.402633
19    respSubstrate43   0.061914  -0.052943  -1.512873
20    respSubstrate71   0.063205  -0.053585  -1.402014
21    respSubstrate99   0.070520  -0.057826  -1.274842
22   respSubstrate127   0.071196  -0.060455  -1.452440
23   respSubstrate155   0.089037  -0.076503  -1.701982
24                PE1   0.060198  -0.037089  -0.233850
25               PE15   0.034836   0.022001  -0.190631
26               PE29   0.058802   0.020895  -0.067780
27               PE43   0.066695  -0.046405   0.248348
28               PE71   0.076839   0.046073   0.066381
29               PE99   0.069240   0.004484  -0.194472
30              PE127   0.033484  -0.011530   0.008983
31              PE155   0.044325  -0.033363  -0.408516
32            Mean EF        NaN        NaN  -2.049454
        
