Treatment,respSoil,respSub
12 0 W A,0.15920270949221,0.0
12 0 W B,0.03025252543119982,0.0
12 B RE A,0.18601325715339498,0.06085784789600373
12 B RE B,0.04474627561726882,0.1262837873597382
12 B LL A,0.16387877160139197,0.05156409011324468
12 B LL B,0.041640914088430445,0.09992586319637249
12 S RE A,0.17391266351503712,0.051356030085905224
12 S RE B,0.0458774045139968,0.10220837200717672
12 S LL A,0.15810363266461036,0.06552265967120709
12 S LL B,0.04032732138523878,0.12702072908412443
15 0 W A,0.2154129213150109,0.0
15 0 W B,0.04422296796653391,0.0
15 B RE A,0.2431952416583683,0.055190827216819505
15 B RE B,0.06033200676884743,0.12638934088811252
15 B LL A,0.19672341351102327,0.04025812225742895
15 B LL B,0.05426242481794511,0.09954347029722317
15 S RE A,0.24154256633855833,0.04396213605791633
15 S RE B,0.06337663272213992,0.0934183790609776
15 S LL A,0.1969391502209346,0.05428895225837508
15 S LL B,0.0569997483898229,0.1324080566779453
