        
        72 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3889.473473025727
        mean EF = -1.4562264321303025
        Calibration ran for 14:37:24
                     Variable       RMSE      Bias        EF
0          POMSoil155   1.082687 -0.025792  0.042764
1         MAOMSoil155   1.761813  0.811940 -0.269321
2     POMSubstrate155   0.006349 -0.005456 -2.823572
3    MAOMSubstrate155   0.022126  0.019129 -3.248718
4               MB155  23.043875  6.514637 -0.641434
5               FB155   0.267456 -0.222004 -2.529800
6    bactSubstrate155        NaN       NaN       NaN
7   fungiSubstrate155        NaN       NaN       NaN
8           respSoil1   0.144869  0.135788 -5.385427
9          respSoil15   0.063161  0.055105 -2.592023
10         respSoil29   0.124971  0.106325 -2.708558
11         respSoil43   0.075157  0.022422  0.357119
12         respSoil71   0.087802 -0.038264  0.092824
13         respSoil99   0.089616 -0.063477 -0.899464
14        respSoil127   0.048234 -0.032312 -0.929356
15        respSoil155   0.070801 -0.057800 -2.216823
16     respSubstrate1   0.061979 -0.052712 -1.933655
17    respSubstrate15   0.072352 -0.061986 -2.250966
18    respSubstrate29   0.063987 -0.054679 -2.151892
19    respSubstrate43   0.070444 -0.060580 -2.252941
20    respSubstrate71   0.071145 -0.060710 -2.043424
21    respSubstrate99   0.077422 -0.064544 -1.741925
22   respSubstrate127   0.077550 -0.066247 -1.909680
23   respSubstrate155   0.094483 -0.081305 -2.042640
24               PE_1   0.057945 -0.034037 -0.143198
25              PE_15   0.040308  0.027629 -0.594075
26              PE_29   0.063278  0.025776 -0.236512
27              PE_43   0.063924 -0.042531  0.309508
28              PE_71   0.074261  0.037994  0.127993
29              PE_99   0.065201 -0.021535 -0.059154
30             PE_127   0.049830 -0.035709 -1.194756
31             PE_155   0.062692 -0.049211 -1.817689
32            Mean EF        NaN       NaN -1.456226
        
