Variable,RMSE,Bias,EF
POMSoil155,1.5834699615903078,1.1326038784048496,-1.0475423990960397
MAOMSoil155,1.7666887737078996,0.8218761756518926,-0.2763558411536895
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.017439212906511174,-0.015038125179674932,-1.6393954418324306
bactSoil155,5.674502188237812,-5.647421478084896,-128.9998894551873
fungiSoil155,0.06534440949128023,-0.03099194602810567,-0.43256548896961533
bactSubstrate155,0.5825366108185774,0.26233295779005966,-190.67713586392145
fungiSubstrate155,0.03775039596733147,-0.027075340774949237,-0.7620213939266569
respSoil1,0.06669012095864311,-0.03405929900154718,-0.35319480213168375
respSoil15,0.3484340981391344,-0.3467923184994245,-108.31674752269882
respSoil29,0.2864430056101934,-0.27894680670323535,-18.483447315473757
respSoil43,0.34022301793403026,-0.32694989986268636,-12.174080337312143
respSoil71,0.3474266575910232,-0.3345216741686313,-13.204045000940956
respSoil99,0.32234491066784837,-0.315801196670205,-23.575713447480187
respSoil127,0.26904440045697237,-0.26673428333089133,-59.0285364011239
respSoil155,0.28818958662411803,-0.2853358235113611,-52.2970710480283
respSubstrate1,0.06958831312404533,-0.059447249893956736,-2.6981637648174344
respSubstrate15,0.07768718419791218,-0.06670800123804461,-2.7480876162076258
respSubstrate29,0.06945305183385023,-0.05957115204375646,-2.713346028243826
respSubstrate43,0.0761039867013013,-0.06558686381849999,-2.7966553393219495
respSubstrate71,0.07710969209241336,-0.06595239539362228,-2.575145310864727
respSubstrate99,0.08290401532643697,-0.06994963223511799,-2.1439877407358363
respSubstrate127,0.08398558313939805,-0.07212892172155286,-2.4126490780861887
respSubstrate155,0.10181335116064436,-0.08767078080211697,-2.5330601914030195
Mean EF,,,-26.44635035634215
