0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0.30241,0.07983,13.09163,0.01006,0.01006,499.11959,16001.29356,5.99986,20.01450,0.40050,0.40012,0.39986,2.01170,0.59745,0.60220,0.60015,1.00281,1.00328,0.00059,0.00603,0.00020,0.06997,0.03005,0.80488,0.00361,0.88908,7.93963,4.00876,198.92333,0.70410,0.69962,15.01211,29.89233
0.30096,0.07933,13.07136,0.01015,0.00996,498.16656,15955.17826,6.02753,20.00498,0.39807,0.39602,0.39700,2.02338,0.60122,0.60613,0.59620,1.00883,1.00159,0.00060,0.00603,0.00020,0.07037,0.02981,0.79684,0.00300,0.88791,7.89592,4.00902,198.51979,0.70971,0.70403,15.03797,29.94340
0.30194,0.07927,13.15545,0.01020,0.00999,498.81538,16133.33914,6.00289,19.98555,0.39785,0.39975,0.39791,2.01652,0.60006,0.60709,0.59664,1.00984,0.99812,0.00059,0.00602,0.00020,0.06983,0.02964,0.79386,0.00294,0.89254,7.90766,3.98858,200.21012,0.69765,0.70737,15.17046,30.11743
0.30207,0.07900,13.19797,0.01024,0.00998,501.68306,16079.31543,5.99988,19.97879,0.40054,0.40366,0.39749,2.02265,0.60412,0.60495,0.59843,1.01567,0.99189,0.00060,0.00599,0.00020,0.06988,0.02985,0.79232,0.00285,0.89409,7.95004,4.00984,199.74789,0.69910,0.70450,15.23253,30.13743
0.30020,0.07869,13.31498,0.01020,0.00994,500.00134,16086.19540,6.02766,20.09717,0.39776,0.40382,0.39629,2.02149,0.60224,0.60676,0.59702,1.01086,0.98660,0.00060,0.00595,0.00020,0.06999,0.02993,0.78638,0.00271,0.89157,7.94192,4.04398,197.94358,0.69491,0.69991,15.24900,30.15619
0.30119,0.07891,13.29580,0.01025,0.00993,499.18539,16084.96864,6.04895,20.25901,0.39432,0.40309,0.39463,2.02807,0.60236,0.60730,0.59313,1.00970,0.99251,0.00060,0.00590,0.00020,0.07003,0.02986,0.78066,0.00043,0.89551,7.95259,4.05160,197.29898,0.69942,0.69582,15.23386,30.30850
0.30200,0.07907,13.31438,0.01026,0.00992,499.75737,16079.78706,6.08815,20.30161,0.39513,0.40585,0.39372,2.02285,0.59943,0.60985,0.59445,1.01618,0.99502,0.00060,0.00594,0.00020,0.06980,0.02978,0.77589,0.00027,0.90247,7.92741,4.06103,197.23049,0.69734,0.69882,15.40025,30.16711
0.30316,0.07933,13.21443,0.01030,0.01002,503.86845,16090.30569,6.05876,20.13569,0.39083,0.40843,0.39311,2.01886,0.59532,0.60878,0.59272,1.01122,0.98971,0.00059,0.00595,0.00020,0.06952,0.02992,0.76961,0.00005,0.90155,7.99765,4.06070,197.79029,0.70092,0.69564,15.43632,30.31925
0.30460,0.07944,13.25565,0.01031,0.01000,501.71168,16060.61069,6.11118,20.10821,0.39036,0.41016,0.39176,2.00326,0.59730,0.61455,0.59305,1.01830,0.98632,0.00059,0.00595,0.00020,0.06945,0.03027,0.76213,0.00003,0.90374,8.01506,4.07619,197.28586,0.70349,0.69726,15.49070,30.52645
0.30541,0.07957,13.35599,0.01037,0.01000,501.74737,15944.97855,6.17251,20.20972,0.39143,0.41040,0.39306,1.99817,0.59498,0.61361,0.59029,1.02031,0.98947,0.00059,0.00600,0.00020,0.06962,0.03005,0.75659,0.00007,0.90408,8.01285,4.08828,196.66510,0.70797,0.69372,15.39200,30.52110
0.30374,0.07938,13.33355,0.01040,0.00998,506.18551,16095.16156,6.11346,20.30521,0.39061,0.41285,0.39217,2.00876,0.59759,0.61467,0.59279,1.02382,0.99556,0.00059,0.00602,0.00020,0.06946,0.03020,0.76438,0.00014,0.90535,8.02001,4.10107,195.25029,0.70674,0.69211,15.41462,30.54701
0.30436,0.07910,13.34932,0.01039,0.00991,506.02982,16091.31960,6.12409,20.57910,0.39265,0.41536,0.39362,2.00134,0.59562,0.61884,0.59007,1.02066,1.00218,0.00059,0.00604,0.00020,0.06864,0.03018,0.75975,0.00016,0.90082,7.99563,4.08692,195.50591,0.70702,0.69316,15.44967,30.35859
0.30316,0.07890,13.27636,0.01051,0.00993,508.75665,15977.12028,6.12370,20.60969,0.39143,0.41056,0.39394,1.99470,0.59296,0.62276,0.59259,1.03095,1.01260,0.00059,0.00607,0.00020,0.06932,0.03019,0.75849,0.00028,0.90098,8.00630,4.05872,195.42434,0.71217,0.69083,15.45940,30.32394
0.30328,0.07841,13.29655,0.01045,0.01001,512.17158,16011.15944,6.11505,20.58555,0.39148,0.40841,0.39224,1.99644,0.59516,0.61963,0.59252,1.03059,1.00957,0.00059,0.00605,0.00020,0.06910,0.03037,0.75864,0.00010,0.89594,7.95112,4.05805,194.74231,0.71423,0.69312,15.38862,30.28414
0.30206,0.07833,13.17982,0.01047,0.01003,516.77418,16119.56104,6.08737,20.45700,0.39015,0.40810,0.39319,1.99696,0.58968,0.62172,0.59331,1.02962,1.01069,0.00059,0.00611,0.00020,0.06870,0.03018,0.76100,0.00016,0.88333,8.01273,4.04560,194.85382,0.71644,0.69719,15.40490,30.62235
0.30034,0.07852,13.01395,0.01057,0.01004,518.72674,16063.00644,6.07446,20.28791,0.39095,0.40786,0.39236,2.02051,0.59161,0.62430,0.59456,1.02785,1.00519,0.00060,0.00606,0.00019,0.06887,0.02994,0.76755,0.00009,0.87892,8.02780,4.02593,195.90974,0.71171,0.69428,15.36010,30.58676
0.30013,0.07846,12.99583,0.01067,0.01013,518.72508,15956.44863,6.06110,20.31156,0.39243,0.40576,0.39676,2.04489,0.59610,0.62736,0.59048,1.03237,0.99993,0.00060,0.00607,0.00019,0.06917,0.02985,0.76511,0.00003,0.88036,7.97055,4.02701,194.39091,0.71063,0.69119,15.31619,30.62526
0.29950,0.07838,13.07547,0.01067,0.01020,515.11143,15951.78529,6.11816,20.29225,0.39149,0.40567,0.39555,2.03675,0.59415,0.62425,0.59317,1.03211,1.00038,0.00060,0.00611,0.00020,0.06925,0.02998,0.76206,0.00008,0.88612,8.00757,4.04089,194.22980,0.71338,0.69885,15.39474,30.71154
0.29905,0.07918,13.17315,0.01066,0.01018,518.59534,15847.17111,6.09589,20.37717,0.39059,0.40543,0.39745,2.04815,0.59642,0.62369,0.58974,1.03546,0.99432,0.00060,0.00611,0.00020,0.06902,0.02989,0.75834,0.00019,0.89057,8.05191,4.06335,193.04302,0.71305,0.69894,15.39981,30.72617
0.29789,0.07977,13.19141,0.01064,0.01020,519.19472,15913.46191,6.06109,20.46310,0.39195,0.40347,0.39744,2.04684,0.59295,0.62331,0.59070,1.03024,0.98983,0.00060,0.00611,0.00020,0.06879,0.02973,0.75961,0.00023,0.88769,8.06374,4.04140,190.68424,0.71177,0.69459,15.59200,30.76852
0.30055,0.07921,13.32090,0.01064,0.01014,523.29809,15858.58921,6.10322,20.36553,0.38963,0.40436,0.39812,2.05251,0.59771,0.62050,0.59017,1.02795,0.99133,0.00059,0.00611,0.00020,0.06902,0.02983,0.76459,0.00018,0.88794,8.08453,4.07246,189.39743,0.70836,0.69296,15.58357,30.70536
0.29949,0.07969,13.32901,0.01067,0.01014,524.51370,15824.50749,6.10927,20.35238,0.39020,0.40555,0.39880,2.05615,0.59886,0.62228,0.58986,1.02513,0.99170,0.00059,0.00610,0.00019,0.06927,0.02996,0.76017,0.00010,0.89034,8.08703,4.10119,189.50854,0.71260,0.69142,15.50402,30.75656
0.29926,0.07957,13.22126,0.01067,0.01011,524.58518,15903.42880,6.07887,20.42442,0.39053,0.40730,0.39629,2.05775,0.59420,0.62427,0.59039,1.02335,0.99161,0.00059,0.00610,0.00020,0.06902,0.02988,0.75787,0.00020,0.89009,8.13621,4.13550,188.46150,0.71445,0.69426,15.44948,31.00424
0.29975,0.07978,13.20710,0.01063,0.01009,522.18702,15897.19912,6.09991,20.54648,0.39210,0.40951,0.39753,2.05226,0.58977,0.62756,0.59324,1.02360,0.99658,0.00059,0.00605,0.00020,0.06893,0.03002,0.76383,0.00010,0.88810,8.14686,4.10372,187.87048,0.71493,0.69978,15.56215,30.71047
0.29830,0.08059,13.23305,0.01066,0.01007,522.00563,15940.44235,6.10945,20.61786,0.39164,0.40913,0.39849,2.04622,0.58773,0.62665,0.59234,1.02252,1.00071,0.00059,0.00604,0.00020,0.06916,0.03005,0.76344,0.00001,0.88368,8.22509,4.12437,188.96706,0.71148,0.70563,15.49608,30.92301
0.29964,0.08000,13.15169,0.01074,0.01000,522.88989,15980.66262,6.14207,20.64032,0.39074,0.41062,0.39808,2.04921,0.58434,0.63094,0.59184,1.02009,1.00649,0.00059,0.00607,0.00020,0.06947,0.03013,0.76076,0.00008,0.88464,8.21339,4.13960,187.55540,0.71524,0.70688,15.51584,30.79949
0.30046,0.08037,13.15251,0.01071,0.00999,523.73726,16013.47045,6.10798,20.59116,0.39086,0.41110,0.39566,2.04978,0.58012,0.63084,0.59122,1.01446,1.00751,0.00059,0.00603,0.00020,0.06926,0.03004,0.75690,0.00004,0.88876,8.16871,4.14251,186.34889,0.72153,0.70573,15.55621,30.52519
0.29801,0.08018,13.13873,0.01064,0.00994,522.68205,15975.95910,6.07596,20.71650,0.39082,0.41248,0.39448,2.05016,0.57820,0.63226,0.59057,1.01553,1.01443,0.00059,0.00610,0.00020,0.06920,0.02976,0.74913,0.00008,0.89006,8.16641,4.14008,188.08791,0.72283,0.70874,15.55852,30.70829
0.29620,0.08042,13.21603,0.01063,0.00997,526.76441,15962.92435,6.02598,20.68958,0.38795,0.41087,0.39330,2.03289,0.58113,0.63333,0.59686,1.01068,1.02291,0.00059,0.00613,0.00020,0.06925,0.02974,0.74244,0.00007,0.89599,8.17425,4.14386,189.11782,0.72244,0.70477,15.53899,30.65173
0.29746,0.08072,13.21973,0.01067,0.01001,526.53505,15835.95033,6.06459,20.60754,0.38974,0.41183,0.39221,2.03012,0.57997,0.63453,0.59532,1.01049,1.02999,0.00060,0.00617,0.00020,0.06884,0.02950,0.74578,0.00011,0.89100,8.20473,4.13050,189.82949,0.72487,0.71009,15.38628,30.51647
