min,max
0.25705,0.31219
0.04061,0.08086
9.90859,13.77663
0.00962,0.01086
0.00834,0.01059
467.39341,557.42972
14087.41776,16436.83537
4.60843,6.02103
19.59498,22.67477
0.29767,0.40230
0.36358,0.42957
0.25369,0.40684
1.89938,2.24789
0.55105,0.64617
0.59224,0.86461
0.49648,0.60976
0.93797,1.09526
0.81182,0.99849
0.00060,0.00076
0.00594,0.00704
0.00018,0.00021
0.06007,0.07475
0.02427,0.03125
0.63299,0.80692
0.00000,0.00999
0.88023,0.99994
6.68250,8.30507
3.89734,4.44877
125.08328,199.68471
0.51791,0.73731
0.69137,0.85682
15.03901,22.49930
30.09384,34.87493
