min,max
0.28067,0.32565
0.04206,0.08145
11.80278,13.75483
0.01006,0.01124
0.00980,0.01079
498.16656,610.38345
15264.06551,20135.57607
5.51149,6.18817
19.97879,25.11376
0.31660,0.40054
0.39602,0.48859
0.37336,0.42847
1.75302,2.14606
0.52978,0.65945
0.60220,0.85668
0.58974,0.70139
0.85976,1.03546
0.97124,1.09974
0.00057,0.00067
0.00575,0.00635
0.00019,0.00022
0.06768,0.07821
0.02412,0.03037
0.62080,0.80488
0.00000,0.00361
0.85168,0.99954
7.89592,8.81009
3.61773,4.72673
153.10741,200.21012
0.69491,0.84974
0.67663,0.74344
14.91022,21.13224
26.65687,31.00424
