Year	Day	Month	temp
1997	9	8	23.68520833
1997	10	8	24.39041667
1997	11	8	25.11729167
1997	12	8	24.91833333
1997	13	8	23.29416667
1997	14	8	19.94666667
1997	15	8	19.98916667
1997	16	8	20.60541667
1997	17	8	22.08541667
1997	18	8	22.95354167
1997	19	8	22.010625
1997	20	8	20.27583333
1997	21	8	22.95520833
1997	22	8	20.51770833
1997	23	8	23.41604167
1997	24	8	24.16541667
1997	25	8	21.01291667
1997	26	8	19.10520833
1997	27	8	18.40833333
1997	28	8	16.8525
1997	29	8	15.73354167
1997	30	8	16.12125
1997	31	8	19.85833333
1997	1	9	18.68765957
1997	2	9	16.94333333
1997	3	9	16.97666667
1997	4	9	18.64979167
1997	5	9	16.47416667
1997	6	9	15.208125
1997	7	9	14.98270833
1997	8	9	15.72708333
1997	9	9	15.045625
1997	10	9	13.73541667
1997	11	9	14.36354167
1997	12	9	17.06125
1997	13	9	13.54875
1997	14	9	12.60125
1997	15	9	12.90520833
1997	16	9	15.08270833
1997	17	9	16.12416667
1997	18	9	16.63583333
1997	19	9	13.92708333
1997	20	9	10.96375
1997	21	9	11.17791667
1997	22	9	12.59083333
1997	23	9	12.86895833
1997	24	9	13.26333333
1997	25	9	14.24416667
1997	26	9	15.27104167
1997	27	9	10.93645833
1997	28	9	11.30229167
1997	29	9	13.13354167
1997	30	9	16.15625
1997	1	10	18.36914894
1997	2	10	14.443125
1997	3	10	12.790625
1997	4	10	13.88875
1997	5	10	13.67833333
1997	6	10	15.36458333
1997	7	10	16.14583333
1997	8	10	15.18354167
1997	9	10	17.235
1997	10	10	14.97458333
1997	11	10	12.15083333
1997	12	10	9.702291667
1997	13	10	8.409583333
1997	14	10	8.147708333
1997	15	10	7.328958333
1997	16	10	8.434583333
1997	17	10	13.206875
1997	18	10	13.57395833
1997	19	10	13.99625
1997	20	10	10.63791667
1997	21	10	6.087916667
1997	22	10	3.805833333
1997	23	10	5.764166667
1997	24	10	7.370833333
1997	25	10	7.888333333
1997	26	10	8.861041667
1997	27	10	5.810625
1997	28	10	1.42
1997	29	10	1.133125
1997	30	10	4.44875
1997	31	10	5.148333333
1997	1	11	1.356595745
1997	2	11	0.273541667
1997	3	11	5.113125
1997	4	11	6.382916667
1997	5	11	11.33854167
1997	6	11	11.34479167
1997	7	11	10.024375
1997	8	11	10.366875
1997	9	11	10.67979167
1997	10	11	9.311041667
1997	11	11	7.553541667
1997	12	11	6.015833333
1997	13	11	5.47625
1997	14	11	6.525
1997	15	11	9.118958333
1997	16	11	11.30458333
1997	17	11	9.569791667
1997	18	11	5.200625
1997	19	11	4.706041667
1997	20	11	5.612916667
1997	21	11	7.575208333
1997	22	11	5.457916667
1997	23	11	4.645833333
1997	24	11	3.399791667
1997	25	11	4.800208333
1997	26	11	6.294166667
