treatmentID,treatment,temperature,tree,substrate,horizon,DOMinput,CN_DOMinput,CN_MAOMp,CN_POM,pH,fClay,fSilt,temp,bact,fungi,CN_MAOMsini,CN_DOMini,DOMini,POMini,MAOMini,POMSoil155,MAOMSoil155,POMSubstrate155,MAOMSubstrate155,MB155,FB155,bactSubstrate155,fungiSubstrate155,respSoil1,respSoil15,respSoil29,respSoil43,respSoil71,respSoil99,respSoil127,respSoil155,respSubstrate1,respSubstrate15,respSubstrate29,respSubstrate43,respSubstrate71,respSubstrate99,respSubstrate127,respSubstrate155,POM_error,MAOM_error,POM_sub_error,MAOM_sub_error,bactSoil155_error,fungiSoil155_error,bactSubstrate155_error,fungiSubstrate155_error,respSoil1_error,respSoil15_error,respSoil29_error,respSoil43_error,respSoil71_error,respSoil99_error,respSoil127_error,respSoil155_error,respSubstrate1_error,respSubstrate15_error,respSubstrate29_error,respSubstrate43_error,respSubstrate71_error,respSubstrate99_error,respSubstrate127_error,respSubstrate155_error,PE1,PE15,PE29,PE43,PE71,PE99,PE127,PE155,PE1_error,PE15_error,PE29_error,PE43_error,PE71_error,PE99_error,PE127_error,PE155_error
11,exudates,20,spruce,exudates,A,9.76,6,15,24,4.1,0.17,0.24,20,2.07,0.47,15,32,50,13032,25368,15.89616047,31.91623292,0.0085651,0.025025083,232,0.431870063,,,0.34885988,0.387683838,0.36427239,0.426811811,0.295875967,0.284793399,0.301665765,0.304106541,0.087579539,0.105995024,0.09300128,0.09393874,0.092597102,0.094663325,0.10454549,0.11173272,0.92420248,1.692026052,0.001024828,0.001230132,0.51427676,0.050854478,0.031664519,0.023370655,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.034625915,-0.018205728,0.060185966,0.155945407,-0.086027403,-0.045023589,0.028171482,0.025587571,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
12,exudates,20,spruce,exudates,A,9.76,6,15,24,4.1,0.17,0.24,20,2.07,0.47,15,32,50,13032,25368,14.70304575,31.60218158,0.006303432,0.022871048,230,0.831456032,,,0.384268309,0.360482485,0.324131138,0.398080411,0.208607807,0.427735403,0.323919352,0.305150348,0.083705663,0.087525646,0.098164551,0.095303947,0.093507708,0.127154926,0.113645223,0.131893182,0.92420248,1.692026052,0.001024828,0.001230132,0.51427676,0.050854478,0.031664519,0.023370655,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.070034344,-0.045407082,0.020044714,0.127214007,-0.173295563,0.097918414,0.050425069,0.026631378,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
13,exudates,20,spruce,exudates,A,9.76,6,15,24,4.1,0.17,0.24,20,2.07,0.47,15,32,50,13032,25368,17.57631204,26.92755083,0.006826525,0.022867701,201,0.639762758,,,0.287910643,0.433036791,0.383801878,0.351463518,0.240513626,0.409172735,0.313898926,0.316473076,0.058727794,0.104681705,0.091504482,0.093916733,0.05163407,0.11001468,0.115147695,0.133166151,0.92420248,1.692026052,0.001024828,0.001230132,0.51427676,0.050854478,0.031664519,0.023370655,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.026323323,0.027147225,0.079715453,0.080597113,-0.141389744,0.079355747,0.040404642,0.037954106,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
14,exudates,20,spruce,exudates,A,9.76,6,15,24,4.1,0.17,0.24,20,2.07,0.47,15,32,50,13032,25368,,,,,185,0.610040026,,,0.420770095,0.390871621,0.296348752,0.300660777,0.184376642,0.312398855,0.315291142,0.322479717,0.104020443,0.099816896,0.090062791,0.094676494,0.102968378,0.095964543,0.125445011,0.141567539,,,,,0.51427676,0.050854478,0.031664519,0.023370655,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.106536129,-0.015017946,-0.007737672,0.029794373,-0.197526729,-0.017418134,0.041796859,0.043960747,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
15,exudates,20,spruce,exudates,A,9.76,6,15,24,4.1,0.17,0.24,20,2.07,0.47,15,32,50,13032,25368,,,,,221,0.582025394,,,0.413291564,0.383210792,0.22092419,0.280301071,0.40808787,0.455000059,0.271745666,0.322016543,0.104340267,0.09923162,0.08692282,0.091747752,0.114497666,0.166765269,0.102024871,0.118742265,,,,,0.51427676,0.050854478,0.031664519,0.023370655,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.099057599,-0.022678775,-0.083162234,0.009434667,0.026184499,0.125183071,-0.001748618,0.043497572,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
16,exudates+leachates,20,spruce,exudates+leachates,A,9.76,23,15,24,4.1,0.17,0.24,20,2.07,0.47,15,32,50,13032,25368,13.54773589,32.10821684,0.005996403,0.02437898,218,0.590374637,,,0.37409777,0.417342023,0.350679801,0.425317772,0.372735472,0.399659915,0.328701282,0.325456388,0.074212415,0.09119795,0.079499527,0.094209455,0.093486581,0.100860495,0.10841021,0.12363914,0.92420248,1.692026052,0.001024828,0.001230132,0.51427676,0.050854478,0.031664519,0.023370655,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.059863804,0.011452457,0.046593377,0.154451368,-0.009167898,0.069842926,0.055206998,0.046937418,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
17,exudates+leachates,20,spruce,exudates+leachates,A,9.76,23,15,24,4.1,0.17,0.24,20,2.07,0.47,15,32,50,13032,25368,14.0568575,28.70487694,0.006526474,0.022566761,210,0.856061742,,,0.3343953,0.403562098,0.254785848,0.365597404,0.413799765,0.24307605,0.326985999,0.328422784,0.069603401,0.086582719,0.053967328,0.084472252,0.097186854,0.066152862,0.10539078,0.111882941,0.92420248,1.692026052,0.001024828,0.001230132,0.51427676,0.050854478,0.031664519,0.023370655,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.020161335,-0.002327469,-0.049300577,0.094731,0.031896394,-0.086740938,0.053491715,0.049903813,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
18,exudates+leachates,20,spruce,exudates+leachates,A,9.76,23,15,24,4.1,0.17,0.24,20,2.07,0.47,15,32,50,13032,25368,14.16252711,31.12557817,0.008492876,0.026847492,188,0.603025575,,,0.382227299,0.459212659,0.364433677,0.498878228,0.493275827,0.444376959,0.348006974,0.367517791,0.080853381,0.095451128,0.084140806,0.095815411,0.093466213,0.111782001,0.113117899,0.134407175,0.92420248,1.692026052,0.001024828,0.001230132,0.51427676,0.050854478,0.031664519,0.023370655,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.067993333,0.053323092,0.060347253,0.228011824,0.111372456,0.11455997,0.07451269,0.088998821,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
19,exudates+leachates,20,spruce,exudates+leachates,A,9.76,23,15,24,4.1,0.17,0.24,20,2.07,0.47,15,32,50,13032,25368,,,,,205,0.64088185,,,0.379926117,0.426395356,0.253210132,0.426405277,0.439398036,0.220770079,0.291831939,0.309614341,0.082792097,0.094830932,0.068501208,0.095070206,0.095601964,0.076859918,0.093718747,0.121267265,,,,,0.51427676,0.050854478,0.031664519,0.023370655,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.065692151,0.020505789,-0.050876293,0.155538873,0.057494665,-0.10904691,0.018337655,0.031095371,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
20,exudates+leachates,20,spruce,exudates+leachates,A,9.76,23,15,24,4.1,0.17,0.24,20,2.07,0.47,15,32,50,13032,25368,,,,,228,0.451912107,,,0.390398873,0.425879916,0.274004947,0.410390179,0.411627149,0.305755091,0.3394038,0.421000815,0.080565445,0.089093831,0.077428615,0.101479952,0.103074748,0.08475685,0.106316262,0.147436685,,,,,0.51427676,0.050854478,0.031664519,0.023370655,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.076164907,0.019990349,-0.030081478,0.139523774,0.029723779,-0.024061897,0.065909517,0.142481845,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
