        
        165 parameter sets accepted out of 30000 tries
        converged = False
        best likelihood = -4012.7087501860674
        mean EF = -3.811349321142252
        Calibration ran for 21:44:53
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.186441   0.478985  -0.149491
1         MAOMSoil155   1.666203   0.576394  -0.135292
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.001579  -0.000801   0.978368
4               MB155  40.045154 -35.426903  -3.956924
5               FB155   0.332820  -0.299099  -4.465921
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.198863  -0.191935 -11.032230
9          respSoil15   0.233856  -0.231685 -48.242769
10         respSoil29   0.142590  -0.126294  -3.827986
11         respSoil43   0.172748  -0.156452  -2.396417
12         respSoil71   0.180170  -0.161045  -2.819869
13         respSoil99   0.165768  -0.152440  -5.499300
14        respSoil127   0.097485  -0.090945  -6.881079
15        respSoil155   0.108794  -0.101137  -6.595527
16     respSubstrate1   0.038970  -0.032189  -0.159784
17    respSubstrate15   0.069652  -0.059643  -2.012841
18    respSubstrate29   0.062715  -0.053598  -2.027751
19    respSubstrate43   0.068651  -0.059043  -2.089437
20    respSubstrate71   0.067590  -0.057594  -1.746921
21    respSubstrate99   0.072441  -0.060084  -1.400483
22   respSubstrate127   0.071656  -0.061070  -1.484222
23   respSubstrate155   0.088327  -0.075938  -1.659079
24                PE1   0.062973  -0.040098  -0.350207
25               PE15   0.042516   0.029806  -0.773526
26               PE29   0.063569   0.025146  -0.247886
27               PE43   0.070362  -0.049541   0.163431
28               PE71   0.074525   0.034671   0.121782
29               PE99   0.068676  -0.026261  -0.175060
30              PE127   0.047780  -0.033542  -1.017899
31              PE155   0.060598  -0.047203  -1.632586
32            Mean EF        NaN        NaN  -3.811349
        
