        
        4245 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3415.899167419808
        mean EF = -1.899499175525871
        Calibration ran for 07:20:15
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.107602   0.286465  -0.001799
1         MAOMSoil155   1.752295   0.792248  -0.255643
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.001625   0.000300   0.977072
4               MB155  68.957506 -64.604813 -13.698580
5               FB155   0.331180  -0.285582  -4.412190
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.084602  -0.067762  -1.177702
9          respSoil15   0.133095  -0.129889 -14.950198
10         respSoil29   0.080341  -0.049471  -0.532736
11         respSoil43   0.121289  -0.097677  -0.674320
12         respSoil71   0.131030  -0.105718  -1.020361
13         respSoil99   0.111300  -0.086035  -1.929908
14        respSoil127   0.049820  -0.037718  -1.058300
15        respSoil155   0.065555  -0.057695  -1.757804
16     respSubstrate1   0.060647  -0.051521  -1.808907
17    respSubstrate15   0.066603  -0.056847  -1.754848
18    respSubstrate29   0.057326  -0.048618  -1.529779
19    respSubstrate43   0.063464  -0.054332  -1.640256
20    respSubstrate71   0.064755  -0.054981  -1.521261
21    respSubstrate99   0.071964  -0.059207  -1.368969
22   respSubstrate127   0.072665  -0.061774  -1.554632
23   respSubstrate155   0.090453  -0.077743  -1.788604
24                PE1   0.059116  -0.035757  -0.189892
25               PE15   0.036059   0.023426  -0.275766
26               PE29   0.059158   0.021572  -0.080746
27               PE43   0.066906  -0.046629   0.243597
28               PE71   0.077253   0.046360   0.056287
29               PE99   0.069265   0.005133  -0.195316
30              PE127   0.033045  -0.010353   0.034776
31              PE155   0.042495  -0.031631  -0.294618
32            Mean EF        NaN        NaN  -1.899499
        
