        
        98 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3709.1602554016777
        mean EF = -0.8125159567033655
        Calibration ran for 06:57:11
                     Variable       RMSE       Bias        EF
0          POMSoil155   1.083741   0.103314  0.040900
1         MAOMSoil155   1.732515   0.746767 -0.227455
2     POMSubstrate155   0.006349  -0.005456 -2.823572
3    MAOMSubstrate155   0.002149   0.001477  0.959914
4               MB155  29.265104 -20.651977 -1.647357
5               FB155   0.167301  -0.042398 -0.381156
6    bactSubstrate155        NaN        NaN       NaN
7   fungiSubstrate155        NaN        NaN       NaN
8           respSoil1   0.051588  -0.004045  0.190292
9          respSoil15   0.071726  -0.065702 -3.632348
10         respSoil29   0.065578   0.015371 -0.021177
11         respSoil43   0.080194  -0.035549  0.268058
12         respSoil71   0.092663  -0.050631 -0.010411
13         respSoil99   0.079543  -0.044205 -0.496459
14        respSoil127   0.035999  -0.009370 -0.074694
15        respSoil155   0.048304  -0.026783 -0.497288
16     respSubstrate1   0.060242  -0.051200 -1.771492
17    respSubstrate15   0.068569  -0.058684 -1.919880
18    respSubstrate29   0.059770  -0.050988 -1.750148
19    respSubstrate43   0.065733  -0.056478 -1.832356
20    respSubstrate71   0.065530  -0.055768 -1.581960
21    respSubstrate99   0.071019  -0.058731 -1.307147
22   respSubstrate127   0.070535  -0.060076 -1.407058
23   respSubstrate155   0.086952  -0.074740 -1.576909
24               PE_1   0.061630  -0.038769 -0.293245
25              PE_15   0.034999   0.022099 -0.201812
26              PE_29   0.059477   0.021128 -0.092432
27              PE_43   0.066542  -0.046139  0.251800
28              PE_71   0.076219   0.044276  0.081388
29              PE_99   0.064811  -0.006464 -0.046523
30             PE_127   0.046515  -0.032094 -0.912452
31             PE_155   0.060941  -0.047554 -1.662500
32            Mean EF        NaN        NaN -0.812516
        
