        
        82 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3724.608214006124
        mean EF = -0.7395393107185392
        Calibration ran for 08:46:40
                     Variable       RMSE      Bias        EF
0          POMSoil155   1.077943  0.016314  0.051133
1         MAOMSoil155   1.726317  0.732186 -0.218689
2     POMSubstrate155   0.006349 -0.005456 -2.823572
3    MAOMSubstrate155   0.003753  0.003045  0.877783
4               MB155  21.854505  6.938165 -0.476367
5               FB155   0.159537 -0.011968 -0.255932
6    bactSubstrate155        NaN       NaN       NaN
7   fungiSubstrate155        NaN       NaN       NaN
8           respSoil1   0.051829 -0.006953  0.182694
9          respSoil15   0.067197 -0.060644 -3.065763
10         respSoil29   0.069128  0.026025 -0.134752
11         respSoil43   0.074598 -0.020582  0.366648
12         respSoil71   0.082899 -0.029397  0.191315
13         respSoil99   0.068935 -0.019172 -0.123931
14        respSoil127   0.039319  0.018328 -0.282056
15        respSoil155   0.040389  0.004129 -0.046823
16     respSubstrate1   0.060204 -0.051165 -1.767953
17    respSubstrate15   0.068908 -0.058980 -1.948828
18    respSubstrate29   0.060260 -0.051417 -1.795379
19    respSubstrate43   0.066324 -0.056994 -1.883555
20    respSubstrate71   0.066260 -0.056412 -1.639840
21    respSubstrate99   0.071842 -0.059478 -1.360952
22   respSubstrate127   0.071454 -0.060887 -1.470235
23   respSubstrate155   0.087904 -0.075571 -1.633677
24               PE_1   0.061414 -0.038516 -0.284184
25              PE_15   0.035454  0.022596 -0.233277
26              PE_29   0.060099  0.021989 -0.115394
27              PE_43   0.065527 -0.044955  0.274450
28              PE_71   0.077086  0.045915  0.060377
29              PE_99   0.064826 -0.005685 -0.047019
30             PE_127   0.046701 -0.032332 -0.927746
31             PE_155   0.060851 -0.047456 -1.654656
32            Mean EF        NaN       NaN -0.739539
        
