        
        4380 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3412.137632422011
        mean EF = -1.8258899673576978
        Calibration ran for 07:19:23
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.102252   0.267474   0.007855
1         MAOMSoil155   1.754441   0.796584  -0.258721
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.001983   0.000936   0.965861
4               MB155  66.109351 -61.565906 -12.509463
5               FB155   0.324104  -0.276864  -4.183384
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.085639  -0.069164  -1.231415
9          respSoil15   0.134477  -0.131246 -15.283154
10         respSoil29   0.080930  -0.050250  -0.555289
11         respSoil43   0.121210  -0.097604  -0.672139
12         respSoil71   0.129263  -0.103431  -0.966214
13         respSoil99   0.107858  -0.081876  -1.751509
14        respSoil127   0.045322  -0.031769  -0.703438
15        respSoil155   0.059122  -0.050082  -1.243063
16     respSubstrate1   0.060164  -0.051085  -1.764321
17    respSubstrate15   0.066030  -0.056320  -1.707624
18    respSubstrate29   0.056823  -0.048134  -1.485587
19    respSubstrate43   0.063054  -0.053944  -1.606237
20    respSubstrate71   0.064545  -0.054781  -1.504964
21    respSubstrate99   0.071929  -0.059150  -1.366643
22   respSubstrate127   0.072735  -0.061828  -1.559549
23   respSubstrate155   0.090610  -0.077879  -1.798309
24                PE1   0.058556  -0.035045  -0.167458
25               PE15   0.036861   0.024323  -0.333115
26               PE29   0.059545   0.022226  -0.094916
27               PE43   0.066759  -0.046473   0.246921
28               PE71   0.077031   0.045790   0.061725
29               PE99   0.068804   0.004298  -0.179451
30              PE127   0.033105  -0.011208   0.031285
31              PE155   0.043246  -0.032349  -0.340812
32            Mean EF        NaN        NaN  -1.825890
        
