        
        4330 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3410.7016258088174
        mean EF = -1.8673376066372556
        Calibration ran for 07:19:09
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.115670   0.298106  -0.016448
1         MAOMSoil155   1.747594   0.782664  -0.248914
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.001935   0.000995   0.967505
4               MB155  71.612207 -67.514760 -14.852085
5               FB155   0.322226  -0.274612  -4.123488
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.076180  -0.056909  -0.765725
9          respSoil15   0.125625  -0.122204 -13.210082
10         respSoil29   0.077227  -0.044144  -0.416208
11         respSoil43   0.118584  -0.094297  -0.600457
12         respSoil71   0.130457  -0.104929  -1.002729
13         respSoil99   0.112160  -0.087432  -1.975390
14        respSoil127   0.052036  -0.040735  -1.245490
15        respSoil155   0.069317  -0.061867  -2.083393
16     respSubstrate1   0.060141  -0.051068  -1.762215
17    respSubstrate15   0.066206  -0.056486  -1.722122
18    respSubstrate29   0.057080  -0.048382  -1.508161
19    respSubstrate43   0.063339  -0.054209  -1.629866
20    respSubstrate71   0.064784  -0.055001  -1.523517
21    respSubstrate99   0.072098  -0.059320  -1.377795
22   respSubstrate127   0.072871  -0.061953  -1.569179
23   respSubstrate155   0.090712  -0.077968  -1.804622
24                PE1   0.059061  -0.035681  -0.187670
25               PE15   0.036294   0.023684  -0.292396
26               PE29   0.059292   0.021754  -0.085624
27               PE43   0.066904  -0.046629   0.243645
28               PE71   0.077023   0.045797   0.061901
29               PE99   0.068850   0.004370  -0.181050
30              PE127   0.033097  -0.011025   0.031744
31              PE155   0.042856  -0.031980  -0.316726
32            Mean EF        NaN        NaN  -1.867338
        
