        
        5138 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3365.552586903575
        mean EF = -2.018674902997522
        Calibration ran for 07:43:43
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.225011   0.163517   0.026199
1         MAOMSoil155   1.762122   0.477017  -0.081580
2     POMSubstrate155   0.006458  -0.005551  -2.830258
3    MAOMSubstrate155   0.001415  -0.000703   0.983242
4               MB155  61.867858 -59.076518 -13.588619
5               FB155   0.200317  -0.132271  -1.052789
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.081091  -0.059708  -0.814920
9          respSoil15   0.118744  -0.116793 -20.491984
10         respSoil29   0.075155  -0.047806  -0.668436
11         respSoil43   0.122610  -0.087979  -0.428653
12         respSoil71   0.127898  -0.101224  -0.956187
13         respSoil99   0.103739  -0.083180  -1.717635
14        respSoil127   0.057482  -0.042568  -1.475640
15        respSoil155   0.074165  -0.057143  -1.895888
16     respSubstrate1   0.060209  -0.051021  -1.662223
17    respSubstrate15   0.064799  -0.055235  -1.595442
18    respSubstrate29   0.055522  -0.047561  -1.413157
19    respSubstrate43   0.061787  -0.052990  -1.464944
20    respSubstrate71   0.061693  -0.052174  -1.263931
21    respSubstrate99   0.069030  -0.057041  -1.162174
22   respSubstrate127   0.069438  -0.059251  -1.318762
23   respSubstrate155   0.086929  -0.074669  -1.531999
24                PE1   0.071108  -0.048216  -0.498967
25               PE15   0.021946   0.011584   0.108016
26               PE29   0.052575   0.007008   0.121732
27               PE43   0.093627  -0.073127  -0.352873
28               PE71   0.064528   0.015555   0.308290
29               PE99   0.064350  -0.023283  -0.120168
30              PE127   0.055636  -0.040777  -1.438237
31              PE155   0.071703  -0.057220  -2.282258
32            Mean EF        NaN        NaN  -2.018675
        
