        
        3284 parameter sets accepted out of 15000 tries
        converged = False
        best likelihood = -3620.332735596061
        mean EF = -2.399807652229031
        Calibration ran for 09:12:19
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.143774   0.373430  -0.068302
1         MAOMSoil155   1.673236   0.597706  -0.144896
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.001580  -0.000823   0.978331
4               MB155  48.820529 -44.388687  -5.255823
5               FB155   0.436282  -0.410596  -8.167717
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.055083   0.026064  -0.058059
9          respSoil15   0.129171  -0.125845 -11.834892
10         respSoil29   0.103142  -0.080360  -1.742058
11         respSoil43   0.153057  -0.135072  -1.856978
12         respSoil71   0.168272  -0.148534  -2.376274
13         respSoil99   0.159715  -0.146211  -4.721694
14        respSoil127   0.100747  -0.094434  -7.394695
15        respSoil155   0.110198  -0.104618  -9.447173
16     respSubstrate1   0.046798  -0.039394  -0.783129
17    respSubstrate15   0.068526  -0.058612  -1.879155
18    respSubstrate29   0.062464  -0.053252  -1.957224
19    respSubstrate43   0.068591  -0.058989  -2.139888
20    respSubstrate71   0.067002  -0.057206  -1.906117
21    respSubstrate99   0.070632  -0.059880  -1.736550
22   respSubstrate127   0.075245  -0.064006  -1.700219
23   respSubstrate155   0.090965  -0.078313  -1.886775
24                PE1   0.057268  -0.032843  -0.173244
25               PE15   0.037038   0.023447  -0.167511
26               PE29   0.058363   0.021647  -0.216666
27               PE43   0.058980  -0.037678   0.370471
28               PE71   0.086048   0.055569  -0.016283
29               PE99   0.064366  -0.016838   0.010087
30              PE127   0.046110  -0.032384  -1.009511
31              PE155   0.052680  -0.042168  -1.888712
32            Mean EF        NaN        NaN  -2.399808
        
