        
        122 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -5456.45713012895
        mean EF = -4.7754187518035565
        Calibration ran for 07:21:48
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.296347   0.685315  -0.372321
1         MAOMSoil155   1.750551   0.786137  -0.253144
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.012703   0.010943  -0.400330
4               MB155  96.744124 -94.916893 -27.930869
5               FB155   0.215906  -0.153981  -1.300245
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.072704  -0.049199  -0.608236
9          respSoil15   0.178140  -0.174665 -27.573737
10         respSoil29   0.145260  -0.132504  -4.010498
11         respSoil43   0.222175  -0.200895  -4.618012
12         respSoil71   0.234283  -0.215418  -5.459048
13         respSoil99   0.213573  -0.203288  -9.788445
14        respSoil127   0.163287  -0.159325 -21.111216
15        respSoil155   0.185997  -0.181493 -21.200381
16     respSubstrate1   0.029411  -0.023186   0.339412
17    respSubstrate15   0.067519  -0.057755  -1.831181
18    respSubstrate29   0.058964  -0.050326  -1.676409
19    respSubstrate43   0.063723  -0.054770  -1.661800
20    respSubstrate71   0.061664  -0.052376  -1.286325
21    respSubstrate99   0.067268  -0.055382  -1.069914
22   respSubstrate127   0.067751  -0.057624  -1.220795
23   respSubstrate155   0.085740  -0.073679  -1.505610
24                PE1   0.059506  -0.032021  -0.205621
25               PE15   0.043448   0.027447  -0.852171
26               PE29   0.051866  -0.010950   0.169283
27               PE43   0.129295  -0.102872  -1.824815
28               PE71   0.079533   0.003934  -0.000222
29               PE99   0.069994  -0.028741  -0.220607
30              PE127   0.049709  -0.035602  -1.184151
31              PE155   0.062289  -0.048868  -1.781582
32            Mean EF        NaN        NaN  -4.775419
        
