treatment,day,DOM_added,respSoil,respSubstrate,resp,baselineRespbulk,respDOM,respPriming,DOMSoil,DOMSubstrate,POMSoil,POMSubstrate,MAOMSoil,MAOMSubstrate,CN_DOM,CN_MAOM,bactSoil,bactSubstrate,fungiSoil,fungiSubstrate,MB,rhiz,bulk,fungi,bact,FB,treatmentID,setID
control,0,0.00000,0.34333,0.00000,0.34333,0.21815,0.02157,0.10360,0.02210,0.00000,16.28239,0.00000,31.70832,0.00000,25.22607,15.00000,85.94122,0.00000,61.21128,0.00000,147.15250,27.22539,119.92711,61.21128,85.94122,0.71225,1,1
control,1,0.00000,0.34037,0.00000,0.34037,0.21917,0.02154,0.09966,0.02263,0.00000,16.27482,0.00000,31.70667,0.00000,20.45908,15.00000,86.19661,0.00000,61.47068,0.00000,147.66729,27.18838,120.47891,61.47068,86.19661,0.71314,1,1
control,2,0.00000,0.33767,0.00000,0.33767,0.22018,0.02151,0.09598,0.02315,0.00000,16.26729,0.00000,31.70506,0.00000,17.35555,15.00000,86.45449,0.00000,61.72838,0.00000,148.18287,27.15744,121.02542,61.72838,86.45449,0.71400,1,1
control,3,0.00000,0.33516,0.00000,0.33516,0.22118,0.02148,0.09250,0.02367,0.00000,16.25980,0.00000,31.70347,0.00000,15.17360,15.00000,86.71476,0.00000,61.98439,0.00000,148.69915,27.13244,121.56671,61.98439,86.71476,0.71481,1,1
control,4,0.00000,0.33280,0.00000,0.33280,0.22217,0.02146,0.08916,0.02418,0.00000,16.25234,0.00000,31.70191,0.00000,13.55551,15.00000,86.97736,0.00000,62.23871,0.00000,149.21606,27.11326,122.10280,62.23871,86.97736,0.71557,1,1
control,5,0.00000,0.33055,0.00000,0.33055,0.22315,0.02145,0.08595,0.02469,0.00000,16.24492,0.00000,31.70038,0.00000,12.30753,15.00000,87.24219,0.00000,62.49134,0.00000,149.73353,27.09977,122.63376,62.49134,87.24219,0.71630,1,1
control,6,0.00000,0.32840,0.00000,0.32840,0.22412,0.02144,0.08284,0.02519,0.00000,16.23752,0.00000,31.69887,0.00000,11.31556,15.00000,87.50919,0.00000,62.74231,0.00000,150.25150,27.09187,123.15963,62.74231,87.50919,0.71698,1,1
control,7,0.00000,0.32633,0.00000,0.32633,0.22508,0.02143,0.07982,0.02569,0.00000,16.23015,0.00000,31.69739,0.00000,10.50808,15.00000,87.77828,0.00000,62.99160,0.00000,150.76989,27.08943,123.68045,62.99160,87.77828,0.71762,1,1
control,8,0.00000,0.32434,0.00000,0.32434,0.22603,0.02143,0.07688,0.02619,0.00000,16.22281,0.00000,31.69594,0.00000,9.83791,15.00000,88.04941,0.00000,63.23924,0.00000,151.28864,27.09236,124.19628,63.23924,88.04941,0.71822,1,1
control,9,0.00000,0.32241,0.00000,0.32241,0.22697,0.02143,0.07400,0.02667,0.00000,16.21550,0.00000,31.69450,0.00000,9.27271,15.00000,88.32249,0.00000,63.48522,0.00000,151.80770,27.10054,124.70716,63.48522,88.32249,0.71879,1,1
control,10,0.00000,0.32053,0.00000,0.32053,0.22791,0.02144,0.07119,0.02716,0.00000,16.20821,0.00000,31.69310,0.00000,8.78956,15.00000,88.59746,0.00000,63.72956,0.00000,152.32702,27.11388,125.21313,63.72956,88.59746,0.71932,1,1
control,11,0.00000,0.31871,0.00000,0.31871,0.22883,0.02145,0.06843,0.02764,0.00000,16.20095,0.00000,31.69171,0.00000,8.37176,15.00000,88.87427,0.00000,63.97226,0.00000,152.84652,27.13228,125.71425,63.97226,88.87427,0.71981,1,1
control,12,0.00000,0.31692,0.00000,0.31692,0.22975,0.02146,0.06571,0.02811,0.00000,16.19372,0.00000,31.69034,0.00000,8.00684,15.00000,89.15284,0.00000,64.21333,0.00000,153.36617,27.15562,126.21055,64.21333,89.15284,0.72026,1,1
control,13,0.00000,0.31518,0.00000,0.31518,0.23065,0.02148,0.06305,0.02858,0.00000,16.18650,0.00000,31.68900,0.00000,7.68533,15.00000,89.43312,0.00000,64.45279,0.00000,153.88591,27.18382,126.70208,64.45279,89.43312,0.72068,1,1
control,14,0.00000,0.31348,0.00000,0.31348,0.23155,0.02151,0.06042,0.02905,0.00000,16.17932,0.00000,31.68768,0.00000,7.39988,15.00000,89.71505,0.00000,64.69063,0.00000,154.40568,27.21678,127.18889,64.69063,89.71505,0.72107,1,1
control,15,0.00000,0.31181,0.00000,0.31181,0.23244,0.02153,0.05783,0.02951,0.00000,16.17215,0.00000,31.68638,0.00000,7.14470,14.99999,89.99857,0.00000,64.92686,0.00000,154.92543,27.25441,127.67102,64.92686,89.99857,0.72142,1,1
control,16,0.00000,0.31017,0.00000,0.31017,0.23332,0.02156,0.05528,0.02997,0.00000,16.16501,0.00000,31.68510,0.00000,6.91520,14.99999,90.28361,0.00000,65.16150,0.00000,155.44512,27.29661,128.14851,65.16150,90.28361,0.72174,1,1
control,17,0.00000,0.30855,0.00000,0.30855,0.23420,0.02159,0.05276,0.03042,0.00000,16.15789,0.00000,31.68385,0.00000,6.70765,14.99999,90.57013,0.00000,65.39456,0.00000,155.96469,27.34329,128.62140,65.39456,90.57013,0.72203,1,1
control,18,0.00000,0.30697,0.00000,0.30697,0.23506,0.02163,0.05028,0.03087,0.00000,16.15079,0.00000,31.68261,0.00000,6.51901,14.99999,90.85807,0.00000,65.62603,0.00000,156.48410,27.39436,129.08975,65.62603,90.85807,0.72229,1,1
control,19,0.00000,0.30541,0.00000,0.30541,0.23592,0.02167,0.04782,0.03131,0.00000,16.14371,0.00000,31.68139,0.00000,6.34679,14.99999,91.14737,0.00000,65.85593,0.00000,157.00330,27.44972,129.55358,65.85593,91.14737,0.72252,1,1
control,20,0.00000,0.30387,0.00000,0.30387,0.23676,0.02172,0.04539,0.03175,0.00000,16.13666,0.00000,31.68019,0.00000,6.18889,14.99998,91.43798,0.00000,66.08426,0.00000,157.52224,27.50930,130.01294,66.08426,91.43798,0.72272,1,1
control,21,0.00000,0.30235,0.00000,0.30235,0.23760,0.02176,0.04299,0.03219,0.00000,16.12962,0.00000,31.67901,0.00000,6.04359,14.99998,91.72984,0.00000,66.31104,0.00000,158.04088,27.57300,130.46788,66.31104,91.72984,0.72289,1,1
control,22,0.00000,0.30086,0.00000,0.30086,0.23843,0.02181,0.04061,0.03262,0.00000,16.12261,0.00000,31.67786,0.00000,5.90940,14.99998,92.02290,0.00000,66.53627,0.00000,158.55918,27.64074,130.91844,66.53627,92.02290,0.72304,1,1
control,23,0.00000,0.29938,0.00000,0.29938,0.23926,0.02187,0.03825,0.03305,0.00000,16.11562,0.00000,31.67672,0.00000,5.78507,14.99998,92.31711,0.00000,66.75996,0.00000,159.07707,27.71243,131.36465,66.75996,92.31711,0.72316,1,1
control,24,0.00000,0.29792,0.00000,0.29792,0.24007,0.02192,0.03592,0.03348,0.00000,16.10865,0.00000,31.67560,0.00000,5.66953,14.99997,92.61241,0.00000,66.98212,0.00000,159.59453,27.78798,131.80655,66.98212,92.61241,0.72325,1,1
