        
        3520 parameter sets accepted out of 15000 tries
        converged = False
        best likelihood = -10006.195197983994
        mean EF = -4.731825090643886
        Calibration ran for 09:15:44
                     Variable        RMSE        Bias         EF
0          POMSoil155    0.826315    0.046728   0.043117
1         MAOMSoil155    1.108151    0.084489   0.004794
2     POMSubstrate155    0.006226   -0.005343  -2.794413
3    MAOMSubstrate155    0.004796   -0.004044   0.795892
4               MB155  137.845877  136.672561 -57.579467
5               FB155    0.273581   -0.229694  -2.517143
6    bactSubstrate155         NaN         NaN        NaN
7   fungiSubstrate155         NaN         NaN        NaN
8           respSoil1    0.185473    0.172352  -8.670976
9          respSoil15    0.106257    0.083085  -8.043261
10         respSoil29    0.156342    0.105009  -4.247669
11         respSoil43    0.090566    0.051767   0.117858
12         respSoil71    0.085562    0.002519   0.062230
13         respSoil99    0.089420    0.060399  -0.845905
14        respSoil127    0.132914    0.127586 -12.383340
15        respSoil155    0.134160    0.127343  -9.887155
16     respSubstrate1    0.047680   -0.040072  -0.658887
17    respSubstrate15    0.064088   -0.054879  -1.579417
18    respSubstrate29    0.058310   -0.049758  -1.615581
19    respSubstrate43    0.064793   -0.055751  -1.745788
20    respSubstrate71    0.066290   -0.056977  -1.552222
21    respSubstrate99    0.067250   -0.054876  -1.046926
22   respSubstrate127    0.065965   -0.056035  -1.138914
23   respSubstrate155    0.081770   -0.070161  -1.340471
24                PE1    0.101922   -0.080619  -2.567272
25               PE15    0.123690    0.103526 -12.434753
26               PE29    0.181329    0.136574  -7.819970
27               PE43    0.067027    0.006997   0.214921
28               PE71    0.073912    0.013807   0.045177
29               PE99    0.066190   -0.017326  -0.077866
30              PE127    0.049421   -0.033810  -0.984132
31              PE155    0.060716   -0.046948  -1.707214
32            Mean EF         NaN         NaN  -4.731825
        
