        
        4380 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3413.4794034511533
        mean EF = -1.7162304838952138
        Calibration ran for 07:21:26
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.095737   0.248315   0.019548
1         MAOMSoil155   1.757353   0.802930  -0.262902
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.002565  -0.001725   0.942913
4               MB155  68.931065 -64.625787 -13.687310
5               FB155   0.340445  -0.297090  -4.719268
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.070290  -0.048517  -0.503228
9          respSoil15   0.116735  -0.113112 -11.270016
10         respSoil29   0.072006  -0.034527  -0.231199
11         respSoil43   0.110911  -0.084457  -0.400056
12         respSoil71   0.123661  -0.096427  -0.799491
13         respSoil99   0.106935  -0.080123  -1.704592
14        respSoil127   0.047704  -0.034810  -0.887242
15        respSoil155   0.065146  -0.057391  -1.723497
16     respSubstrate1   0.059793  -0.050760  -1.730344
17    respSubstrate15   0.066066  -0.056365  -1.710645
18    respSubstrate29   0.057003  -0.048318  -1.501395
19    respSubstrate43   0.063245  -0.054129  -1.622028
20    respSubstrate71   0.064690  -0.054912  -1.516234
21    respSubstrate99   0.071958  -0.059164  -1.368592
22   respSubstrate127   0.072657  -0.061751  -1.554098
23   respSubstrate155   0.090456  -0.077741  -1.788803
24                PE1   0.059830  -0.036641  -0.218793
25               PE15   0.035517   0.022806  -0.237675
26               PE29   0.058932   0.021291  -0.072501
27               PE43   0.066818  -0.046526   0.245572
28               PE71   0.077457   0.046686   0.051314
29               PE99   0.069521   0.005673  -0.204162
30              PE127   0.032926  -0.009729   0.041718
31              PE155   0.041762  -0.030939  -0.250334
32            Mean EF        NaN        NaN  -1.716230
        
