treatment,day,DOMaddition,DOM,bact_DOM,bact,fungi,resp_substrate,resp_soil_baseline,resp_soil,POM,MAOMs,MAOMp,MAOM
exudates,11,0,3.2381262519939886,11.176409142459367,24.18715153034637,14.880472083713663,0.22974433862484112,15.686725867927901,71.4555155596013,9513.784371078642,15923.742499392158,8399.732108940876,24323.474608333032
exudates,12,0,2.7900332915809756,9.154781503525022,22.09805939243827,13.788847872083222,0.17450958018607102,13.930556881799872,63.579967476320626,9472.990312001772,15907.177359575202,8398.987267727081,24306.164627302285
exudates,13,0,2.4264170695398604,7.557088162958861,20.356862986365037,12.817478571439494,0.1323096290908709,12.488165718628208,57.220515228557026,9436.140743838221,15892.021290229397,8398.313955648113,24290.33524587751
exudates,14,10,10.063569500715623,8.33856258611596,18.864667347203593,11.940948989475594,0.10022796049209405,11.293112186113364,399.1484185370559,9139.919144003685,15798.784753476757,8392.473544104534,24191.25829758129
exudates,15,0,7.908246012723068,8.66210426637282,17.576988454370607,11.147889297041022,0.7493108760742017,10.85303430395113,350.6776157537634,8881.452711365637,15715.00016327374,8387.210160708764,24102.210323982505
exudates,16,0,6.093217502259695,8.52618088116171,16.460070828787057,10.428888200720204,1.1125748834941673,10.365837514704593,288.15094787615027,8670.77442801252,15644.614069841544,8382.797885352013,24027.41195519356
exudates,17,0,4.658820001216095,8.021129535096861,15.48726983761458,9.775838160323435,1.2537235161125002,9.819128639479283,224.7121382776261,8507.929766368108,15588.544952654931,8379.311102267977,23967.856054922908
exudates,18,0,3.577478824470477,7.279544900872374,14.636823238196417,9.181560700849786,1.2400960172986484,9.22831904174964,169.0367806531329,8386.622541574889,15545.481034248993,8376.673018666565,23922.154052915557
exudates,19,0,2.7880638220196934,6.430447267119653,13.89057476358933,8.639631001576475,1.133270679337242,8.622147603278107,124.7054693735551,8298.10817490447,15513.025806121941,8374.730564221227,23887.756370343166
exudates,20,0,2.2225584589511698,5.573722570368837,13.233237099995401,8.144303330602051,0.9817852897695355,8.029570921493647,91.71460611730987,8233.823913347991,15488.603672505593,8373.315463381361,23861.919135886954
exudates,21,0,1.8205716528920068,4.7737349415053,12.6519158665918,7.69046899410917,0.818959909387469,7.472451586255151,68.28858323893232,8186.634192554857,15469.959607692314,8372.278835844274,23842.23844353659
exudates,22,0,1.5344404629182011,4.064089648891889,12.13574918104358,7.273614785845021,0.6646538173891733,6.963643568386453,52.15988595728504,8151.1383750730565,15455.334589485221,8371.503929134893,23826.838518620112
exudates,23,0,1.3291020700169218,3.4562992244496167,11.675602487988552,6.889773439203439,0.5287084780418289,6.508201329927909,41.24027416279516,8123.503722908519,15443.455268419286,8370.906036581566,23814.36130500085
exudates,24,0,1.1798466077646308,2.948167385963587,11.26379955903726,6.53546796865919,0.4144362537139324,6.105684227599283,33.87166904513867,8101.129979743142,15433.445555120881,8370.426883446728,23803.87243856761
exudates,25,0,1.0696753054578165,2.530245752660857,10.893885863389876,6.207654410619144,0.321398780557917,5.752391007640198,28.849913421643095,8082.306437168776,15424.7226943902,8370.02779473887,23794.75048912907
exudates,26,0,0.9870077413651679,2.190152741159656,10.56042396543673,5.903666822607798,0.24731985456035974,5.443068498524594,25.35151571054491,8065.928100742222,15416.906540434515,8369.683659617564,23786.59020005208
exudates,27,0,0.9239422640699557,1.9151419344743459,10.258819935056739,5.621166909418693,0.18926109165970628,5.172037082091255,22.836102571866007,8051.286056833291,15409.750733411576,8369.378327113456,23779.129060525032
exudates,28,10,9.955969941989201,2.588452558132853,9.979834515385859,5.357084129434016,0.14436744107117255,4.93384069856431,167.86488426163262,7930.633869508955,15366.015011049696,8366.594714995046,23732.609726044742
exudates,29,0,8.741561781531788,3.316394887403024,9.719867545573374,5.109620658567323,0.41944126376960666,4.9699514443873785,196.34544960432243,7789.551434214644,15314.643674723182,8363.277492019646,23677.921166742828
exudates,30,0,7.370842550843831,3.9947619730062227,9.476287659004004,4.877283181612804,0.6668448163537293,5.031090115759879,211.53412615066745,7637.9695385943005,15258.829974683438,8359.640386221323,23618.47036090476
exudates,31,0,5.975437982547269,4.50630012477791,9.247439600865789,4.658855077577389,0.8693161318166649,5.087220908102865,208.63572684201134,7489.126792931516,15203.145329029365,8355.993877143053,23559.13920617242
exudates,32,0,4.685785348914815,4.767002688270969,9.032458919308494,4.4533378448098375,1.0057351402245023,5.1050380547831775,188.81280935841562,7355.1755309302935,15152.074785227987,8352.646586431478,23504.721371659463
exudates,33,0,3.590932992310871,4.757220660471573,8.830945555031779,4.259876668318455,1.0634831238136764,5.06073352542749,158.31060143455318,7243.575257852918,15108.637257606699,8349.809911496946,23458.447169103645
exudates,34,0,2.724088506164943,4.518463333532159,8.642638493041664,4.077696081503129,1.0455380342675837,4.948511554133197,124.77167857511846,7156.236939953224,15073.883246242054,8347.56111361379,23421.444359855843
exudates,35,0,2.0735876219471807,4.1256307931263185,8.467201943844852,3.9060614212315357,0.968515067097975,4.779593548870906,93.9902728730514,7090.971856165884,15047.273804167342,8345.867256169786,23393.141060337126
exudates,36,0,1.6038125431070998,3.656916031288964,8.304142844060173,3.744264917821514,0.8551037520074185,4.57444936140831,68.84837588825934,7043.620187065356,15027.417477337258,8344.635117904003,23372.05259524126
exudates,37,0,1.2729383940505654,3.175156686624383,8.152818990860816,3.5916264927384285,0.7267101945528556,4.354425678927224,49.896377275737684,7009.704764627344,15012.706331319512,8343.755194661475,23356.461525980987
exudates,38,0,1.0431010253772648,2.721901835148027,8.0124874375439,3.44749975187227,0.5994072538498888,4.1365781224867355,36.399337013084505,6985.3189663066205,15001.688254107321,8343.127876441788,23344.81613054911
exudates,39,0,0.8842280068334347,2.3194524817998423,7.882358920102394,3.311277645257798,0.483105527059983,3.9320412974300964,27.16516235303006,6967.4281491937145,14993.212432091825,8342.673920686047,23335.886352777874
exudates,40,0,0.7742214680925683,1.975988650047594,7.761642361436309,3.1823957435515293,0.3825555560287845,3.7466111952541072,21.012474678209227,6953.847340675012,14986.43976183619,8342.33543805701,23328.7751998932
exudates,41,0,0.6976078025014008,1.6908155333578527,7.649575274906677,3.0603330012605623,0.298930255280353,3.582179967471732,16.96800556102286,6943.085972051623,14980.792969964847,8342.072579346543,23322.86554931139
exudates,42,10,9.76338275720542,2.3118082799389157,7.541753504447907,2.9442371653599038,0.23153420867732966,3.438199103985424,144.92654684001,6842.179062799376,14939.794611532287,8339.356915887736,23279.15152742002
exudates,43,0,8.589151850815592,3.0006972540911194,7.437015538910886,2.8336485933427373,0.45821316111621063,3.5482913383013166,173.12076379645387,6721.809672494311,14890.58491977295,8336.057689464362,23226.64260923731
exudates,44,0,7.251068142186151,3.6632204991782555,7.334603663217486,2.7281815469019683,0.67649023463328,3.6795902826372773,190.41679896370573,6589.876571381966,14835.997489278925,8332.36837125807,23168.365860536993
exudates,45,0,5.87213228564387,4.1840020476705035,7.234285856641936,2.6275265340163974,0.8669056339153413,3.805644029807122,191.3049361681887,6457.989661257547,14780.538235062233,8328.601820924589,23109.14005598682
exudates,46,0,4.5830203868304835,4.471519275877963,7.136324497145143,2.5314385055943225,1.0043256362183235,3.894313538336693,175.59696425640092,6337.651335047227,14728.978982278592,8325.093754084453,23054.072736363043
exudates,47,0,3.479225416440323,4.49445740178944,7.041292815579485,2.4397138892130092,1.0702944371105785,3.9202282389354473,148.4518153888386,6236.573146539426,14684.803234202049,8322.093193985274,23006.896428187323
