treatment,day,DOMaddition,DOM,bact_DOM,bact,fungi,respSubstrate,baselineResp,respSoil,POM,MAOMs,MAOMp,MAOM
control,0,0.00,23.43,106.50,391.39,102.32,0.00,0.65,0.65,16.29,21.14,10.57,31.71
control,1,0.00,46.41,101.74,359.60,98.53,0.00,0.74,64.92,15.05,20.86,10.55,31.41
control,2,0.00,63.94,100.88,330.39,94.88,0.00,0.69,104.43,13.08,20.37,10.52,30.89
control,3,0.00,77.36,102.59,303.56,91.35,0.00,0.64,126.39,10.75,19.72,10.48,30.20
control,4,0.00,87.58,105.99,278.90,87.95,0.00,0.61,136.52,8.33,18.93,10.43,29.36
control,5,0.00,95.22,110.51,256.25,84.66,0.00,0.58,138.65,6.03,17.98,10.36,28.34
control,6,0.00,100.75,115.72,235.43,81.49,0.00,0.55,135.37,3.99,16.86,10.28,27.15
control,7,0.00,104.57,121.31,216.30,78.42,0.00,0.53,128.54,2.33,15.55,10.18,25.73
control,8,0.00,106.96,127.03,198.72,75.46,0.00,0.51,119.53,1.13,14.02,10.06,24.08
control,9,0.00,108.19,132.70,182.56,72.60,0.00,0.49,109.34,0.42,12.28,9.90,22.18
control,10,0.00,108.48,138.17,167.71,69.84,0.00,0.47,98.72,0.11,10.42,9.71,20.13
control,11,0.00,108.01,143.31,154.06,67.17,0.00,0.46,88.19,0.02,8.61,9.50,18.11
control,12,0.00,106.95,148.06,141.52,64.60,0.00,0.44,78.14,0.00,6.99,9.28,16.27
control,13,0.00,105.45,152.35,130.00,62.12,0.00,0.43,68.79,0.00,5.59,9.05,14.63
control,14,0.00,103.61,156.14,119.41,59.72,0.00,0.42,60.28,0.00,4.39,8.80,13.20
control,15,0.00,101.54,159.43,109.68,57.42,0.00,0.41,52.65,0.00,3.39,8.55,11.94
control,16,0.00,99.30,162.20,100.74,55.20,0.00,0.40,45.89,0.00,2.56,8.29,10.85
control,17,0.00,96.95,164.46,92.53,53.06,0.00,0.39,39.93,0.00,1.89,8.02,9.91
control,18,0.00,94.54,166.23,84.98,51.00,0.00,0.38,34.73,0.00,1.35,7.73,9.08
control,19,0.00,92.11,167.54,78.05,49.02,0.00,0.37,30.19,0.00,0.93,7.43,8.37
control,20,0.00,89.68,168.41,71.68,47.11,0.00,0.36,26.23,0.00,0.62,7.13,7.75
control,21,0.00,87.27,168.87,65.83,45.28,0.00,0.35,22.80,0.00,0.40,6.81,7.21
control,22,0.00,84.90,168.95,60.46,43.51,0.00,0.35,19.81,0.00,0.25,6.49,6.74
control,23,0.00,82.57,168.68,55.53,41.82,0.00,0.34,17.20,0.00,0.16,6.18,6.34
control,24,0.00,80.29,168.10,51.00,40.19,0.00,0.33,14.94,0.00,0.10,5.89,5.99
control,25,0.00,78.07,167.23,46.83,38.62,0.00,0.32,12.97,0.00,0.06,5.62,5.69
control,26,0.00,75.92,166.10,43.01,37.12,0.00,0.31,11.26,0.00,0.04,5.38,5.43
control,27,0.00,73.82,164.73,39.50,35.67,0.00,0.30,9.77,0.00,0.03,5.17,5.20
control,28,0.00,71.79,163.17,36.28,34.28,0.00,0.30,8.48,0.00,0.02,4.98,5.01
control,29,0.00,69.81,161.42,33.32,32.95,0.00,0.29,7.36,0.00,0.02,4.82,4.84
control,30,0.00,67.90,159.51,30.60,31.66,0.00,0.28,6.38,0.00,0.01,4.68,4.69
control,31,0.00,66.05,157.46,28.10,30.43,0.00,0.28,5.53,0.00,0.01,4.55,4.57
control,32,0.00,64.25,155.29,25.81,29.24,0.00,0.27,4.79,0.00,0.01,4.45,4.46
control,33,0.00,62.51,153.02,23.70,28.10,0.00,0.26,4.14,0.00,0.01,4.36,4.37
control,34,0.00,60.82,150.67,21.77,27.01,0.00,0.26,3.58,0.00,0.01,4.28,4.29
control,35,0.00,59.18,148.24,19.99,25.96,0.00,0.25,3.08,0.00,0.01,4.21,4.22
control,36,0.00,57.59,145.75,18.36,24.94,0.00,0.24,2.64,0.00,0.01,4.16,4.16
control,37,0.00,56.05,143.21,16.86,23.97,0.00,0.24,2.26,0.00,0.01,4.11,4.12
control,38,0.00,54.55,140.64,15.48,23.04,0.00,0.23,1.92,0.00,0.01,4.07,4.08
control,39,0.00,53.10,138.04,14.22,22.14,0.00,0.22,1.61,0.00,0.01,4.04,4.04
control,40,0.00,51.68,135.41,13.06,21.28,0.00,0.22,1.35,0.00,0.01,4.01,4.02
control,41,0.00,50.31,132.78,11.99,20.45,0.00,0.21,1.11,0.00,0.01,3.99,4.00
control,42,0.00,48.98,130.14,11.01,19.65,0.00,0.21,0.90,0.00,0.01,3.97,3.98
control,43,0.00,47.68,127.51,10.12,18.89,0.00,0.20,0.72,0.00,0.01,3.96,3.97
control,44,0.00,46.42,124.88,9.29,18.15,0.00,0.20,0.55,0.00,0.01,3.95,3.96
control,45,0.00,45.19,122.26,8.53,17.44,0.00,0.19,0.40,0.00,0.01,3.95,3.96
control,46,0.00,44.00,119.66,7.84,16.76,0.00,0.19,0.27,0.00,0.01,3.95,3.96
control,47,0.00,42.84,117.09,7.20,16.11,0.00,0.18,0.18,0.00,0.01,3.95,3.96
control,48,0.00,41.71,114.53,6.61,15.48,0.00,0.18,0.18,0.00,0.01,3.95,3.96
control,49,0.00,40.61,112.00,6.07,14.88,0.00,0.17,0.17,0.00,0.01,3.95,3.96
control,50,0.00,39.55,109.50,5.57,14.30,0.00,0.17,0.17,0.00,0.01,3.95,3.96
control,51,0.00,38.51,107.03,5.12,13.74,0.00,0.16,0.16,0.00,0.01,3.95,3.96
