Parameter,Parameter_change,value,treatment,day,DOMaddition,DOM,bact_DOM,bact,fungi,resp_substrate,resp_soil_baseline,resp_soil,POM,MAOMp,MAOMs
bact_DOM_rel,50,0.1,exudates,0,10,9.283097012120091,2.3295039616009534,3.3163103756223618,1.0967644012941025,0.0,0.20500000000000002,4832.570640724899,11573.961121401284,22860.078736464176,16912.0
bact_DOM_rel,50,0.1,exudates,1,0,8.390058191111782,3.2867128271494757,3.1435535935556786,1.1896504159784307,0.042249551881900514,0.1987184508199412,4998.472788646536,10080.350440590906,21845.60229975136,16912.000000097458
bact_DOM_rel,50,0.1,exudates,2,0,7.4364448564252585,4.250532055116748,2.9813833282600317,1.2778120514900577,0.09612963661442314,0.19286719215713688,4668.108594818745,8770.021568727525,21512.073902712997,16912.00000027526
bact_DOM_rel,50,0.1,exudates,3,0,6.521910240270675,5.121548816872504,2.8299349077169906,1.3612431101562714,0.1580394197726054,0.18740352795770332,4007.2390187166648,7738.272716748326,21530.837370344576,16912.00000050677
bact_DOM_rel,50,0.1,exudates,4,0,5.70560586365723,5.84567398171145,2.6893310076288106,1.440388069235404,0.2241683890737528,0.18233403869053766,3233.601118307579,6978.215304436415,21731.080104560708,16912.000000767806
bact_DOM_rel,50,0.1,exudates,5,0,5.010522655860538,6.4076254028258095,2.5594811437770795,1.5158193490585805,0.29157085244601044,0.17767819245850267,2490.1458648321586,6440.08171642743,22008.636801555127,16912.000001041022
bact_DOM_rel,50,0.1,exudates,6,0,4.436468985856437,6.816052497424343,2.4400668390962683,1.5880674234058416,0.3582816215268805,0.17344863766061142,1846.2040458341237,6068.47834304594,22298.95525167844,16912.000001315788
bact_DOM_rel,50,0.1,exudates,7,0,3.9712839271508424,7.091140167170333,2.3305952408349033,1.6575600730963702,0.4230589309262903,0.16964536465698868,1325.557549323511,5816.3205459756055,22564.873033214688,16912.000001586486
bact_DOM_rel,50,0.1,exudates,8,0,3.598203635367558,7.256665629357328,2.2304629450997737,1.7246167202769547,0.48511727508826863,0.16625656423463628,926.3652570724809,5647.478715389225,22788.595763659436,16912.000001850713
bact_DOM_rel,50,0.1,exudates,9,0,3.3000531033891836,7.335622045980343,2.139010080191143,1.7894646857731518,0.5439504172596218,0.16326164886329733,633.2987713240356,5535.592620228844,22965.419057968007,16912.0000021079
bact_DOM_rel,50,0.1,exudates,10,0,3.0613106434431194,7.3481875263685055,2.05556059190217,1.8522610679091294,0.5992366625329482,0.1606344445827517,425.61233952157767,5462.029581482786,23098.540337523737,16912.0000023584
bact_DOM_rel,50,0.1,exudates,11,0,2.8688888127750234,7.311080277424658,1.979449899874126,1.9131131843326967,0.6507934715586414,0.1583458616323824,282.46183810730355,5413.930586196364,23194.9845896394,16912.000002602952
