treatment,day,DOM_added,respSoil,respSubstrate,resp,baselineRespbulk,respDOM,respPriming,DOMSoil,DOMSubstrate,POMSoil,POMSubstrate,MAOMSoil,MAOMSubstrate,CN_DOM,CN_MAOM,bactSoil,bactSubstrate,fungiSoil,fungiSubstrate,MB,rhiz,bulk,fungi,bact,FB,treatmentID,setID
control,0,0.00000,0.32395,0.00000,0.32395,0.24444,0.02015,0.05937,0.01762,0.00000,16.28227,0.00000,31.70850,0.00000,21.17039,15.00000,88.14395,0.00000,73.69086,0.00000,161.83481,30.35622,131.47859,73.69086,88.14395,0.83603,1,1
control,1,0.00000,0.32202,0.00000,0.32202,0.24559,0.02003,0.05639,0.01860,0.00000,16.27457,0.00000,31.70704,0.00000,16.66078,15.00000,88.29944,0.00000,73.98501,0.00000,162.28445,30.19323,132.09122,73.98501,88.29944,0.83789,1,1
control,2,0.00000,0.32058,0.00000,0.32058,0.24674,0.01993,0.05392,0.01958,0.00000,16.26689,0.00000,31.70560,0.00000,13.99966,15.00000,88.46086,0.00000,74.27738,0.00000,162.73824,30.04118,132.69705,74.27738,88.46086,0.83966,1,1
control,3,0.00000,0.31945,0.00000,0.31945,0.24787,0.01983,0.05175,0.02054,0.00000,16.25922,0.00000,31.70418,0.00000,12.24274,15.00000,88.62804,0.00000,74.56797,0.00000,163.19600,29.89982,133.29618,74.56797,88.62804,0.84136,1,1
control,4,0.00000,0.31851,0.00000,0.31851,0.24899,0.01973,0.04979,0.02149,0.00000,16.25156,0.00000,31.70279,0.00000,10.99540,15.00000,88.80082,0.00000,74.85677,0.00000,163.65759,29.76893,133.88866,74.85677,88.80082,0.84297,1,1
control,5,0.00000,0.31771,0.00000,0.31771,0.25010,0.01965,0.04797,0.02243,0.00000,16.24390,0.00000,31.70141,0.00000,10.06353,15.00000,88.97906,0.00000,75.14379,0.00000,164.12286,29.64828,134.47457,75.14379,88.97906,0.84451,1,1
control,6,0.00000,0.31702,0.00000,0.31702,0.25119,0.01957,0.04626,0.02336,0.00000,16.23625,0.00000,31.70006,0.00000,9.34052,15.00000,89.16261,0.00000,75.42903,0.00000,164.59164,29.53767,135.05398,75.42903,89.16261,0.84597,1,1
control,7,0.00000,0.31640,0.00000,0.31640,0.25227,0.01949,0.04463,0.02428,0.00000,16.22860,0.00000,31.69872,0.00000,8.76295,15.00000,89.35132,0.00000,75.71249,0.00000,165.06382,29.43687,135.62695,75.71249,89.35132,0.84736,1,1
control,8,0.00000,0.31584,0.00000,0.31584,0.25334,0.01943,0.04307,0.02519,0.00000,16.22096,0.00000,31.69740,0.00000,8.29069,15.00000,89.54506,0.00000,75.99417,0.00000,165.53924,29.34569,136.19355,75.99417,89.54506,0.84867,1,1
control,9,0.00000,0.31533,0.00000,0.31533,0.25440,0.01937,0.04156,0.02609,0.00000,16.21331,0.00000,31.69610,0.00000,7.89715,15.00000,89.74369,0.00000,76.27408,0.00000,166.01778,29.26393,136.75384,76.27408,89.74369,0.84991,1,1
