        
        5397 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3424.9056076038123
        mean EF = -1.299414691902067
        Calibration ran for 07:43:34
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.102180   0.158578   0.007985
1         MAOMSoil155   1.743170   0.770480  -0.242600
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.003335  -0.002652   0.903458
4               MB155  41.829493 -37.323165  -5.489784
5               FB155   0.220262  -0.150390  -1.354340
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.070328  -0.043715  -0.294439
9          respSoil15   0.111001  -0.107202 -10.096425
10         respSoil29   0.065999  -0.025876  -0.053840
11         respSoil43   0.110814  -0.078913  -0.540536
12         respSoil71   0.109578  -0.076129  -0.546186
13         respSoil99   0.089628  -0.067079  -1.364706
14        respSoil127   0.034831  -0.005078  -0.209009
15        respSoil155   0.048215  -0.021672  -0.460822
16     respSubstrate1   0.057825  -0.049432  -1.662835
17    respSubstrate15   0.065124  -0.055590  -1.635234
18    respSubstrate29   0.056452  -0.047966  -1.423016
19    respSubstrate43   0.062290  -0.053484  -1.541360
20    respSubstrate71   0.062005  -0.052540  -1.323448
21    respSubstrate99   0.071888  -0.059133  -1.190524
22   respSubstrate127   0.068068  -0.057923  -1.297765
23   respSubstrate155   0.086025  -0.073975  -1.537247
24                PE1   0.067428  -0.045200  -0.395330
25               PE15   0.029496   0.012643   0.173171
26               PE29   0.050895   0.004520   0.100745
27               PE43   0.098651  -0.077295  -0.638709
28               PE71   0.062127   0.018480   0.236818
29               PE99   0.067469  -0.032105  -0.341005
30              PE127   0.050131  -0.037364  -1.705890
31              PE155   0.069674  -0.055445  -2.235997
32            Mean EF        NaN        NaN  -1.299415
        
