treatment,day,DOM_added,respSoil,respSubstrate,resp,baselineRespbulk,respDOM,respPriming,DOMSoil,DOMSubstrate,POMSoil,POMSubstrate,MAOMSoil,MAOMSubstrate,CN_DOM,CN_MAOM,bactSoil,bactSubstrate,fungiSoil,fungiSubstrate,MB,rhiz,bulk,fungi,bact,FB,treatmentID,setID
control,0,0.00000,0.28639,0.00000,0.28639,0.20376,0.02242,0.06022,0.02358,0.00000,16.28366,0.00000,31.70906,0.00000,20.14076,15.00000,113.62401,0.00000,54.27463,0.00000,167.89864,38.94456,128.95408,54.27463,113.62401,0.47767,1,1
control,1,0.00000,0.28437,0.00000,0.28437,0.20394,0.02230,0.05813,0.02407,0.00000,16.27736,0.00000,31.70814,0.00000,17.10643,15.00000,113.49605,0.00000,54.30969,0.00000,167.80574,38.73519,129.07055,54.30969,113.49605,0.47852,1,1
control,2,0.00000,0.28245,0.00000,0.28245,0.20413,0.02218,0.05615,0.02456,0.00000,16.27109,0.00000,31.70723,0.00000,14.96212,15.00000,113.37274,0.00000,54.34467,0.00000,167.71742,38.53137,129.18605,54.34467,113.37274,0.47935,1,1
control,3,0.00000,0.28062,0.00000,0.28062,0.20431,0.02206,0.05425,0.02504,0.00000,16.26485,0.00000,31.70634,0.00000,13.36608,15.00000,113.25399,0.00000,54.37958,0.00000,167.63358,38.33299,129.30059,54.37958,113.25399,0.48016,1,1
control,4,0.00000,0.27886,0.00000,0.27886,0.20449,0.02195,0.05242,0.02551,0.00000,16.25863,0.00000,31.70547,0.00000,12.13171,15.00000,113.13972,0.00000,54.41441,0.00000,167.55413,38.13996,129.41417,54.41441,113.13972,0.48095,1,1
control,5,0.00000,0.27716,0.00000,0.27716,0.20467,0.02184,0.05066,0.02598,0.00000,16.25245,0.00000,31.70461,0.00000,11.14849,15.00000,113.02984,0.00000,54.44916,0.00000,167.47900,37.95219,129.52681,54.44916,113.02984,0.48172,1,1
control,6,0.00000,0.27552,0.00000,0.27552,0.20485,0.02173,0.04894,0.02645,0.00000,16.24628,0.00000,31.70376,0.00000,10.34677,15.00000,112.92428,0.00000,54.48382,0.00000,167.40810,37.76960,129.63851,54.48382,112.92428,0.48248,1,1
control,7,0.00000,0.27392,0.00000,0.27392,0.20502,0.02163,0.04727,0.02691,0.00000,16.24015,0.00000,31.70293,0.00000,9.68049,15.00000,112.82295,0.00000,54.51840,0.00000,167.34135,37.59208,129.74927,54.51840,112.82295,0.48322,1,1
control,8,0.00000,0.27236,0.00000,0.27236,0.20520,0.02152,0.04564,0.02736,0.00000,16.23404,0.00000,31.70212,0.00000,9.11796,15.00000,112.72579,0.00000,54.55289,0.00000,167.27868,37.41956,129.85911,54.55289,112.72579,0.48394,1,1
control,9,0.00000,0.27084,0.00000,0.27084,0.20537,0.02142,0.04405,0.02781,0.00000,16.22795,0.00000,31.70131,0.00000,8.63666,15.00000,112.63271,0.00000,54.58729,0.00000,167.22000,37.25196,129.96804,54.58729,112.63271,0.48465,1,1
control,10,0.00000,0.26936,0.00000,0.26936,0.20554,0.02133,0.04248,0.02826,0.00000,16.22189,0.00000,31.70052,0.00000,8.22016,15.00000,112.54365,0.00000,54.62160,0.00000,167.16525,37.08919,130.07606,54.62160,112.54365,0.48534,1,1
control,11,0.00000,0.26790,0.00000,0.26790,0.20572,0.02124,0.04095,0.02870,0.00000,16.21585,0.00000,31.69974,0.00000,7.85616,15.00000,112.45853,0.00000,54.65581,0.00000,167.11434,36.93117,130.18317,54.65581,112.45853,0.48601,1,1
control,12,0.00000,0.26647,0.00000,0.26647,0.20588,0.02115,0.03944,0.02913,0.00000,16.20983,0.00000,31.69897,0.00000,7.53531,15.00000,112.37727,0.00000,54.68993,0.00000,167.06721,36.77782,130.28939,54.68993,112.37727,0.48666,1,1
control,13,0.00000,0.26507,0.00000,0.26507,0.20605,0.02106,0.03796,0.02957,0.00000,16.20384,0.00000,31.69822,0.00000,7.25035,15.00000,112.29983,0.00000,54.72396,0.00000,167.02379,36.62907,130.39471,54.72396,112.29983,0.48730,1,1
control,14,0.00000,0.26370,0.00000,0.26370,0.20622,0.02097,0.03650,0.02999,0.00000,16.19786,0.00000,31.69747,0.00000,6.99555,15.00000,112.22611,0.00000,54.75789,0.00000,166.98400,36.48484,130.49916,54.75789,112.22611,0.48792,1,1
control,15,0.00000,0.26234,0.00000,0.26234,0.20638,0.02089,0.03507,0.03042,0.00000,16.19191,0.00000,31.69674,0.00000,6.76636,14.99999,112.15607,0.00000,54.79171,0.00000,166.94778,36.34505,130.60273,54.79171,112.15607,0.48853,1,1
control,16,0.00000,0.26101,0.00000,0.26101,0.20655,0.02081,0.03365,0.03084,0.00000,16.18598,0.00000,31.69602,0.00000,6.55908,14.99999,112.08962,0.00000,54.82544,0.00000,166.91506,36.20962,130.70544,54.82544,112.08962,0.48912,1,1
control,17,0.00000,0.25970,0.00000,0.25970,0.20671,0.02073,0.03226,0.03125,0.00000,16.18007,0.00000,31.69531,0.00000,6.37069,14.99999,112.02671,0.00000,54.85906,0.00000,166.88578,36.07849,130.80728,54.85906,112.02671,0.48970,1,1
control,18,0.00000,0.25841,0.00000,0.25841,0.20687,0.02066,0.03088,0.03166,0.00000,16.17418,0.00000,31.69462,0.00000,6.19873,14.99999,111.96728,0.00000,54.89258,0.00000,166.85986,35.95159,130.90827,54.89258,111.96728,0.49026,1,1
control,19,0.00000,0.25714,0.00000,0.25714,0.20703,0.02058,0.02952,0.03207,0.00000,16.16831,0.00000,31.69393,0.00000,6.04110,14.99999,111.91125,0.00000,54.92600,0.00000,166.83725,35.82884,131.00841,54.92600,111.91125,0.49080,1,1
control,20,0.00000,0.25589,0.00000,0.25589,0.20719,0.02051,0.02818,0.03247,0.00000,16.16246,0.00000,31.69325,0.00000,5.89609,14.99999,111.85857,0.00000,54.95930,0.00000,166.81788,35.71017,131.10771,54.95930,111.85857,0.49133,1,1
control,21,0.00000,0.25465,0.00000,0.25465,0.20735,0.02045,0.02686,0.03287,0.00000,16.15664,0.00000,31.69259,0.00000,5.76222,14.99998,111.80918,0.00000,54.99250,0.00000,166.80168,35.59551,131.20618,54.99250,111.80918,0.49184,1,1
control,22,0.00000,0.25343,0.00000,0.25343,0.20750,0.02038,0.02555,0.03326,0.00000,16.15083,0.00000,31.69194,0.00000,5.63825,14.99998,111.76301,0.00000,55.02559,0.00000,166.78861,35.48480,131.30381,55.02559,111.76301,0.49234,1,1
control,23,0.00000,0.25223,0.00000,0.25223,0.20766,0.02032,0.02425,0.03365,0.00000,16.14504,0.00000,31.69129,0.00000,5.52310,14.99998,111.72001,0.00000,55.05858,0.00000,166.77859,35.37796,131.40063,55.05858,111.72001,0.49283,1,1
control,24,0.00000,0.25104,0.00000,0.25104,0.20781,0.02026,0.02297,0.03404,0.00000,16.13927,0.00000,31.69066,0.00000,5.41586,14.99997,111.68012,0.00000,55.09144,0.00000,166.77157,35.27494,131.49663,55.09144,111.68012,0.49330,1,1
control,25,0.00000,0.24986,0.00000,0.24986,0.20796,0.02020,0.02171,0.03442,0.00000,16.13351,0.00000,31.69004,0.00000,5.31573,14.99997,111.64328,0.00000,55.12420,0.00000,166.76748,35.17566,131.59182,55.12420,111.64328,0.49375,1,1
control,26,0.00000,0.24870,0.00000,0.24870,0.20811,0.02014,0.02045,0.03480,0.00000,16.12778,0.00000,31.68942,0.00000,5.22201,14.99997,111.60943,0.00000,55.15684,0.00000,166.76627,35.08007,131.68621,55.15684,111.60943,0.49420,1,1
control,27,0.00000,0.24756,0.00000,0.24756,0.20826,0.02009,0.01921,0.03517,0.00000,16.12206,0.00000,31.68882,0.00000,5.13411,14.99996,111.57852,0.00000,55.18937,0.00000,166.76789,34.98809,131.77980,55.18937,111.57852,0.49462,1,1
control,28,0.00000,0.24642,0.00000,0.24642,0.20841,0.02003,0.01798,0.03554,0.00000,16.11637,0.00000,31.68823,0.00000,5.05148,14.99996,111.55049,0.00000,55.22178,0.00000,166.77227,34.89967,131.87260,55.22178,111.55049,0.49504,1,1
control,29,0.00000,0.24530,0.00000,0.24530,0.20856,0.01998,0.01677,0.03591,0.00000,16.11069,0.00000,31.68765,0.00000,4.97365,14.99995,111.52528,0.00000,55.25408,0.00000,166.77936,34.81475,131.96461,55.25408,111.52528,0.49544,1,1
control,30,0.00000,0.24420,0.00000,0.24420,0.20870,0.01993,0.01556,0.03627,0.00000,16.10503,0.00000,31.68707,0.00000,4.90022,14.99995,111.50285,0.00000,55.28625,0.00000,166.78911,34.73325,132.05585,55.28625,111.50285,0.49583,1,1
control,31,0.00000,0.24310,0.00000,0.24310,0.20885,0.01989,0.01437,0.03663,0.00000,16.09938,0.00000,31.68651,0.00000,4.83081,14.99994,111.48314,0.00000,55.31831,0.00000,166.80145,34.65513,132.14632,55.31831,111.48314,0.49620,1,1
