treatment,day,DOM_added,respSoil,respSubstrate,resp,baselineRespbulk,respDOM,respPriming,DOMSoil,DOMSubstrate,POMSoil,POMSubstrate,MAOMSoil,MAOMSubstrate,CN_DOM,CN_MAOM,bactSoil,bactSubstrate,fungiSoil,fungiSubstrate,MB,rhiz,bulk,fungi,bact,FB,treatmentID,setID
control,0,0.00000,0.30581,0.00000,0.30581,0.22541,0.02038,0.06002,0.02226,0.00000,16.28311,0.00000,31.70891,0.00000,24.06985,15.00000,89.13750,0.00000,47.67808,0.00000,136.81558,33.29759,103.51799,47.67808,89.13750,0.53488,1,1
control,1,0.00000,0.30512,0.00000,0.30512,0.22645,0.02027,0.05839,0.02261,0.00000,16.27622,0.00000,31.70784,0.00000,20.20735,15.00000,89.23203,0.00000,47.87587,0.00000,137.10791,33.11851,103.98940,47.87587,89.23203,0.53653,1,1
control,2,0.00000,0.30445,0.00000,0.30445,0.22748,0.02016,0.05680,0.02295,0.00000,16.26933,0.00000,31.70678,0.00000,17.50368,15.00000,89.32868,0.00000,48.07239,0.00000,137.40107,32.94373,104.45734,48.07239,89.32868,0.53815,1,1
control,3,0.00000,0.30380,0.00000,0.30380,0.22851,0.02006,0.05524,0.02330,0.00000,16.26245,0.00000,31.70574,0.00000,15.50553,15.00000,89.42741,0.00000,48.26763,0.00000,137.69504,32.77319,104.92185,48.26763,89.42741,0.53974,1,1
control,4,0.00000,0.30317,0.00000,0.30317,0.22952,0.01995,0.05370,0.02364,0.00000,16.25557,0.00000,31.70470,0.00000,13.96878,15.00000,89.52817,0.00000,48.46161,0.00000,137.98978,32.60683,105.38295,48.46161,89.52817,0.54130,1,1
control,5,0.00000,0.30257,0.00000,0.30257,0.23053,0.01985,0.05218,0.02398,0.00000,16.24870,0.00000,31.70368,0.00000,12.75034,15.00000,89.63092,0.00000,48.65434,0.00000,138.28526,32.44460,105.84066,48.65434,89.63092,0.54283,1,1
control,6,0.00000,0.30198,0.00000,0.30198,0.23153,0.01975,0.05069,0.02431,0.00000,16.24182,0.00000,31.70268,0.00000,11.76074,15.00000,89.73564,0.00000,48.84582,0.00000,138.58146,32.28645,106.29501,48.84582,89.73564,0.54433,1,1
control,7,0.00000,0.30140,0.00000,0.30140,0.23253,0.01966,0.04922,0.02465,0.00000,16.23495,0.00000,31.70168,0.00000,10.94119,15.00000,89.84229,0.00000,49.03606,0.00000,138.87835,32.13233,106.74601,49.03606,89.84229,0.54580,1,1
control,8,0.00000,0.30085,0.00000,0.30085,0.23352,0.01956,0.04777,0.02499,0.00000,16.22808,0.00000,31.70069,0.00000,10.25146,15.00000,89.95084,0.00000,49.22506,0.00000,139.17590,31.98220,107.19370,49.22506,89.95084,0.54724,1,1
control,9,0.00000,0.30030,0.00000,0.30030,0.23449,0.01947,0.04634,0.02532,0.00000,16.22121,0.00000,31.69972,0.00000,9.66307,15.00000,90.06124,0.00000,49.41284,0.00000,139.47408,31.83599,107.63809,49.41284,90.06124,0.54866,1,1
control,10,0.00000,0.29977,0.00000,0.29977,0.23547,0.01938,0.04492,0.02566,0.00000,16.21435,0.00000,31.69876,0.00000,9.15531,15.00000,90.17349,0.00000,49.59940,0.00000,139.77288,31.69367,108.07921,49.59940,90.17349,0.55004,1,1
control,11,0.00000,0.29925,0.00000,0.29925,0.23643,0.01929,0.04352,0.02599,0.00000,16.20748,0.00000,31.69781,0.00000,8.71275,15.00000,90.28753,0.00000,49.78475,0.00000,140.07228,31.55519,108.51708,49.78475,90.28753,0.55140,1,1
control,12,0.00000,0.29874,0.00000,0.29874,0.23739,0.01921,0.04214,0.02632,0.00000,16.20062,0.00000,31.69687,0.00000,8.32368,15.00000,90.40334,0.00000,49.96889,0.00000,140.37223,31.42051,108.95173,49.96889,90.40334,0.55273,1,1
control,13,0.00000,0.29825,0.00000,0.29825,0.23834,0.01913,0.04078,0.02666,0.00000,16.19376,0.00000,31.69594,0.00000,7.97901,15.00000,90.52089,0.00000,50.15184,0.00000,140.67274,31.28957,109.38317,50.15184,90.52089,0.55404,1,1
control,14,0.00000,0.29776,0.00000,0.29776,0.23928,0.01905,0.03943,0.02699,0.00000,16.18690,0.00000,31.69502,0.00000,7.67161,15.00000,90.64016,0.00000,50.33360,0.00000,140.97376,31.16234,109.81142,50.33360,90.64016,0.55531,1,1
control,15,0.00000,0.29729,0.00000,0.29729,0.24022,0.01897,0.03810,0.02732,0.00000,16.18004,0.00000,31.69411,0.00000,7.39580,15.00000,90.76111,0.00000,50.51418,0.00000,141.27529,31.03877,110.23652,50.51418,90.76111,0.55656,1,1
control,16,0.00000,0.29683,0.00000,0.29683,0.24115,0.01890,0.03678,0.02765,0.00000,16.17319,0.00000,31.69321,0.00000,7.14699,15.00000,90.88371,0.00000,50.69358,0.00000,141.57729,30.91881,110.65848,50.69358,90.88371,0.55779,1,1
