        
        159 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3777.737731158492
        mean EF = -1.036769064392176
        Calibration ran for 02:36:44
                     Variable       RMSE       Bias        EF
0          POMSoil155   1.080839  -0.074131  0.046029
1         MAOMSoil155   1.722174   0.722137 -0.212846
2     POMSubstrate155   0.006349  -0.005456 -2.823572
3    MAOMSubstrate155   0.010954   0.009417 -0.041343
4               MB155  37.806791  31.882378 -3.418267
5               FB155   0.168519   0.063915 -0.401347
6    bactSubstrate155        NaN        NaN       NaN
7   fungiSubstrate155        NaN        NaN       NaN
8           respSoil1   0.059278  -0.029346 -0.069106
9          respSoil15   0.076684  -0.071100 -4.294841
10         respSoil29   0.068663   0.024809 -0.119515
11         respSoil43   0.073646  -0.014363  0.382714
12         respSoil71   0.078514  -0.011482  0.274602
13         respSoil99   0.066598   0.006305 -0.049014
14        respSoil127   0.059990   0.048995 -1.984495
15        respSoil155   0.055325   0.038061 -0.964189
16     respSubstrate1   0.060499  -0.051420 -1.795152
17    respSubstrate15   0.069853  -0.059802 -2.030294
18    respSubstrate29   0.061504  -0.052503 -1.911998
19    respSubstrate43   0.067839  -0.058311 -2.016755
20    respSubstrate71   0.068243  -0.058157 -1.800228
21    respSubstrate99   0.074236  -0.061639 -1.520949
22   respSubstrate127   0.074312  -0.063398 -1.671752
23   respSubstrate155   0.091088  -0.078348 -1.827892
24               PE_1   0.061880  -0.039066 -0.303740
25              PE_15   0.034628   0.021570 -0.176521
26              PE_29   0.059504   0.020363 -0.093412
27              PE_43   0.067572  -0.047085  0.228449
28              PE_71   0.077404   0.046180  0.052618
29              PE_99   0.064838  -0.004780 -0.047421
30             PE_127   0.045984  -0.031476 -0.869071
31             PE_155   0.060726  -0.047318 -1.643764
32            Mean EF        NaN        NaN -1.036769
        
