Variable,RMSE,Bias,EF
POMSoil155,1.0808389227461186,-0.0741313760042767,0.046028946526153636
MAOMSoil155,1.722174180491451,0.7221366777476605,-0.21284644392129048
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.010953967597404314,0.009416796503748605,-0.04134253147317035
MB155,37.80679127376554,31.882377516266388,-3.4182667194772156
FB155,0.1685194607320728,0.063915383277859,-0.4013467174463692
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.059277751499698994,-0.029345518805301434,-0.06910596895159404
respSoil15,0.07668382481270443,-0.07109971502433213,-4.294841164042849
respSoil29,0.06866261891109213,0.02480895665003969,-0.11951543493781625
respSoil43,0.0736456200133811,-0.014362768697634754,0.3827135160658498
respSoil71,0.07851364863376425,-0.01148203608011317,0.2746024520182495
respSoil99,0.06659756406841374,0.006304556379737999,-0.0490137665998156
respSoil127,0.059990222691475026,0.048994928595795885,-1.984494532204791
respSoil155,0.05532459948959645,0.038061155018895454,-0.9641892601539825
respSubstrate1,0.06049869163052202,-0.05141995828252919,-1.7951523626364922
respSubstrate15,0.06985329718164995,-0.05980227065147453,-2.030294195700849
respSubstrate29,0.06150411663705772,-0.05250303630920541,-1.9119983445123707
respSubstrate43,0.06783859857929547,-0.05831097633997344,-2.0167553609763353
respSubstrate71,0.06824311089038242,-0.058157158200093165,-1.8002279917835762
respSubstrate99,0.07423645051662645,-0.0616391270760976,-1.5209492941373273
respSubstrate127,0.07431166046774448,-0.06339754048676687,-1.6717516070826166
respSubstrate155,0.09108788007097629,-0.0783475348469652,-1.827891620256127
PE_1,0.061879855663146376,-0.039065565177306395,-0.3037395558771214
PE_15,0.03462847131842021,0.021570029320317034,-0.1765212462523551
PE_29,0.05950407779582984,0.020363331134249103,-0.09341165572369725
PE_43,0.06757244283446923,-0.047084753776337106,0.22844885881122656
PE_71,0.07740352679338727,0.04618045787949325,0.052618153117445665
PE_99,0.06483847838020644,-0.004780199938303367,-0.04742097656319122
PE_127,0.0459843902159579,-0.03147597064913671,-0.8690711061253285
PE_155,0.06072635567764261,-0.04731780558026904,-1.6437642782138528
Mean EF,,,-1.036769064392176
