        
        224 parameter sets accepted out of 100000 tries
        converged = False
        best likelihood = -3903.3967096836095
        mean EF = -3.227858456141144
        Calibration ran for 00:48:59
                     Variable       RMSE       Bias         EF
0          POMSoil155   1.178875   0.454397  -0.134877
1         MAOMSoil155   1.664401   0.570899  -0.132838
2     POMSubstrate155   0.006349  -0.005456  -2.823572
3    MAOMSubstrate155   0.003518  -0.002842   0.892588
4               MB155  38.388792 -33.570144  -3.555344
5               FB155   0.325409  -0.290853  -4.225223
6    bactSubstrate155        NaN        NaN        NaN
7   fungiSubstrate155        NaN        NaN        NaN
8           respSoil1   0.176543  -0.169151  -8.482803
9          respSoil15   0.206657  -0.204286 -37.454528
10         respSoil29   0.128639  -0.110051  -2.929472
11         respSoil43   0.161189  -0.143478  -1.957099
12         respSoil71   0.175285  -0.155218  -2.615575
13         respSoil99   0.161221  -0.147485  -5.147607
14        respSoil127   0.094092  -0.087317  -6.342045
15        respSoil155   0.105909  -0.098063  -6.198009
16     respSubstrate1   0.029493  -0.023475   0.335736
17    respSubstrate15   0.069335  -0.059371  -1.985512
18    respSubstrate29   0.062888  -0.053757  -2.044537
19    respSubstrate43   0.069067  -0.059411  -2.126970
20    respSubstrate71   0.068273  -0.058195  -1.802711
21    respSubstrate99   0.073170  -0.060739  -1.449020
22   respSubstrate127   0.072417  -0.061738  -1.537269
23   respSubstrate155   0.089028  -0.076549  -1.701460
24                PE1   0.059014  -0.035736  -0.185778
25               PE15   0.039069   0.025366  -0.497623
26               PE29   0.062403   0.020744  -0.202545
27               PE43   0.071506  -0.050846   0.136004
28               PE71   0.074325   0.032646   0.126480
29               PE99   0.068658  -0.026225  -0.174453
30              PE127   0.047647  -0.033401  -1.006709
31              PE155   0.060372  -0.046987  -1.612984
32            Mean EF        NaN        NaN  -3.227858
        
