Variable,RMSE,Bias,EF
POMSoil155,1.17887508091926,0.4543974577301409,-0.13487706800922195
MAOMSoil155,1.664401037342747,0.5708987020088756,-0.13283752661764914
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.0035180384156474546,-0.002842061296522544,0.892588233833946
MB155,38.3887920294303,-33.57014425836562,-3.555344049577606
FB155,0.325409090171113,-0.2908531964221054,-4.225223126945956
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.17654267523009168,-0.16915079191590698,-8.482802759262606
respSoil15,0.20665743679900486,-0.20428643737390778,-37.45452761991079
respSoil29,0.1286389225240814,-0.11005073055944488,-2.929471515163644
respSoil43,0.16118939604737892,-0.14347783879249495,-1.9570989584693113
respSoil71,0.17528542422937643,-0.15521802987825564,-2.6155749701179474
respSoil99,0.16122069601850866,-0.14748450454165418,-5.147606802650609
respSoil127,0.09409219489335889,-0.08731664573849436,-6.342044937328877
respSoil155,0.10590898269603809,-0.09806266600228712,-6.1980087081818205
respSubstrate1,0.029492640725163156,-0.023474632077605362,0.3357358082317874
respSubstrate15,0.06933522627216604,-0.059370931965915495,-1.9855121831038844
respSubstrate29,0.0628882087956411,-0.053756723223628754,-2.044536629975381
respSubstrate43,0.0690666977776749,-0.059410577126144795,-2.126970196157553
respSubstrate71,0.06827336411833171,-0.05819532670264932,-1.8027113109811634
respSubstrate99,0.07316970134404954,-0.06073928576058444,-1.4490196955740187
respSubstrate127,0.07241728021803771,-0.0617375763215928,-1.537269319634801
respSubstrate155,0.08902838840866885,-0.07654934287418272,-1.701460335616297
PE1,0.05901407444766196,-0.0357355482182397,-0.1857781917550947
PE15,0.039069212478007556,0.025365928394462934,-0.4976228193356367
PE29,0.06240302420990538,0.02074437811374346,-0.20254549568032543
PE43,0.07150611891675807,-0.050846052938397404,0.13600368040165367
PE71,0.0743249608354681,0.03264569280272529,0.12647982810573455
PE99,0.06865781039843014,-0.02622539464946381,-0.17445271591168088
PE127,0.04764745533099323,-0.03340107569464351,-1.0067089300135885
PE155,0.060371810418060334,-0.04698695115982403,-1.6129836455778905
Mean EF,,,-3.227858456141144
