Set,Treatment,respSoil,respSubstrate
1,12 0 W A,0.20181207019313285,0.0
1,12 0 W B,0.0499984342442124,0.0
1,12 B RE A,0.1068736945409429,0.08013466625382133
1,12 B RE B,0.04740971540004671,0.04688762611344938
1,12 B LL A,1.757058394718082,0.07051102633533704
1,12 B LL B,0.34601751256112595,0.07446017669744373
1,12 S RE A,0.10688811971074744,0.08017788370197358
1,12 S RE B,0.047444223722464124,0.04703730133704391
1,12 S LL A,1.8075890518017401,0.06877371886652935
1,12 S LL B,0.35689159264162995,0.07351674896187388
1,15 0 W A,0.2926944544972787,0.0
1,15 0 W B,0.07241735019274223,0.0
1,15 B RE A,0.1623133892617415,0.1164475276920123
1,15 B RE B,0.06878685675717702,0.0705757815549158
1,15 B LL A,2.0188323713173597,0.10648761878644697
1,15 B LL B,0.41776499016890367,0.10018753798013164
1,15 S RE A,0.16233380835809302,0.11650565376015071
1,15 S RE B,0.06883715080942082,0.07079214065017202
1,15 S LL A,2.084789804878176,0.10474878496916162
1,15 S LL B,0.4344168521153301,0.09956196362758424
