        
        5635 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -3596.3481525246834
        mean EF = -1.2370259042842566
        Calibration ran for 07:41:06
                     Variable       RMSE       Bias        EF
0          POMSoil155   1.142964   0.043899  0.017302
1         MAOMSoil155   2.121666   1.295488 -0.595215
2     POMSubstrate155   0.006360  -0.005473 -2.853078
3    MAOMSubstrate155   0.002673  -0.001941  0.936952
4               MB155  46.605006 -42.483344 -5.185976
5               FB155   0.226166  -0.177011 -1.989957
6    bactSubstrate155        NaN        NaN       NaN
7   fungiSubstrate155        NaN        NaN       NaN
8           respSoil1   0.054238  -0.025820 -0.172103
9          respSoil15   0.100590  -0.096438 -7.344957
10         respSoil29   0.066605  -0.010603  0.060571
11         respSoil43   0.098855  -0.066213 -0.271248
12         respSoil71   0.118386  -0.077320 -0.390293
13         respSoil99   0.096843  -0.067766 -0.978471
14        respSoil127   0.044023  -0.024776 -0.735638
15        respSoil155   0.057230  -0.039779 -1.305953
16     respSubstrate1   0.058710  -0.049655 -1.601187
17    respSubstrate15   0.065152  -0.055862 -1.652404
18    respSubstrate29   0.054885  -0.046581 -1.349118
19    respSubstrate43   0.061403  -0.052647 -1.473978
20    respSubstrate71   0.062372  -0.052765 -1.290053
21    respSubstrate99   0.070224  -0.057462 -1.126102
22   respSubstrate127   0.070034  -0.059770 -1.330868
23   respSubstrate155   0.088098  -0.075764 -1.553756
24                PE1   0.061096  -0.041799 -0.663053
25               PE15   0.027647   0.006691  0.348038
26               PE29   0.056636   0.010003  0.085110
27               PE43   0.091252  -0.070933 -0.419066
28               PE71   0.075056   0.017711  0.234962
29               PE99   0.073422  -0.028490 -0.189179
30              PE127   0.058471  -0.045235 -1.991532
31              PE155   0.071660  -0.057257 -2.330527
32            Mean EF        NaN        NaN -1.237026
        
