treatment,day,DOM_added,respSoil,respSubstrate,resp,baselineRespbulk,respDOM,respPriming,DOMSoil,DOMSubstrate,POMSoil,POMSubstrate,MAOMSoil,MAOMSubstrate,CN_DOM,CN_MAOM,bactSoil,bactSubstrate,fungiSoil,fungiSubstrate,MB,rhiz,bulk,fungi,bact,FB,treatmentID,setID
control,0,0.00000,0.35235,0.00000,0.35235,0.23708,0.02155,0.09372,0.02385,0.00000,16.28211,0.00000,31.70851,0.00000,26.62061,15.00000,92.43413,0.00000,50.57095,0.00000,143.00508,23.47301,119.53207,50.57095,92.43413,0.54710,1,1
control,1,0.00000,0.35016,0.00000,0.35016,0.23785,0.02160,0.09071,0.02432,0.00000,16.27425,0.00000,31.70704,0.00000,21.41762,15.00000,92.72019,0.00000,50.73278,0.00000,143.45297,23.53568,119.91729,50.73278,92.72019,0.54716,1,1
control,2,0.00000,0.34807,0.00000,0.34807,0.23862,0.02166,0.08779,0.02478,0.00000,16.26643,0.00000,31.70560,0.00000,18.05539,15.00000,93.00879,0.00000,50.89350,0.00000,143.90229,23.60366,120.29862,50.89350,93.00879,0.54719,1,1
control,3,0.00000,0.34604,0.00000,0.34604,0.23938,0.02172,0.08494,0.02524,0.00000,16.25864,0.00000,31.70418,0.00000,15.70268,15.00000,93.29978,0.00000,51.05311,0.00000,144.35289,23.67680,120.67609,51.05311,93.29978,0.54719,1,1
control,4,0.00000,0.34407,0.00000,0.34407,0.24013,0.02179,0.08215,0.02568,0.00000,16.25088,0.00000,31.70279,0.00000,13.96338,15.00000,93.59305,0.00000,51.21161,0.00000,144.80466,23.75492,121.04974,51.21161,93.59305,0.54717,1,1
control,5,0.00000,0.34215,0.00000,0.34215,0.24087,0.02186,0.07941,0.02612,0.00000,16.24315,0.00000,31.70141,0.00000,12.62473,15.00000,93.88847,0.00000,51.36900,0.00000,145.25748,23.83788,121.41960,51.36900,93.88847,0.54713,1,1
control,6,0.00000,0.34027,0.00000,0.34027,0.24161,0.02194,0.07672,0.02655,0.00000,16.23545,0.00000,31.70006,0.00000,11.56218,15.00000,94.18594,0.00000,51.52529,0.00000,145.71123,23.92552,121.78571,51.52529,94.18594,0.54706,1,1
control,7,0.00000,0.33842,0.00000,0.33842,0.24234,0.02202,0.07406,0.02697,0.00000,16.22779,0.00000,31.69873,0.00000,10.69800,15.00000,94.48534,0.00000,51.68048,0.00000,146.16582,24.01771,122.14811,51.68048,94.48534,0.54697,1,1
control,8,0.00000,0.33660,0.00000,0.33660,0.24306,0.02210,0.07144,0.02739,0.00000,16.22015,0.00000,31.69741,0.00000,9.98113,15.00000,94.78658,0.00000,51.83457,0.00000,146.62115,24.11432,122.50683,51.83457,94.78658,0.54686,1,1
control,9,0.00000,0.33482,0.00000,0.33482,0.24377,0.02219,0.06885,0.02780,0.00000,16.21254,0.00000,31.69612,0.00000,9.37666,15.00000,95.08955,0.00000,51.98756,0.00000,147.07711,24.21520,122.86191,51.98756,95.08955,0.54672,1,1
control,10,0.00000,0.33306,0.00000,0.33306,0.24448,0.02229,0.06630,0.02820,0.00000,16.20496,0.00000,31.69485,0.00000,8.85990,15.00000,95.39417,0.00000,52.13945,0.00000,147.53362,24.32023,123.21339,52.13945,95.39417,0.54657,1,1
