Variable,RMSE,Bias,EF
POMSoil155,1.2208616803635721,0.5156484181603055,-0.2171557926935057
MAOMSoil155,1.7709560139646332,0.8311756842787528,-0.28252907872277766
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.05010228514756611,0.04337467588882504,-20.78541169040654
MB155,18.87934803484389,5.757669518090421,-0.10175815962648405
FB155,0.28022680534050326,-0.24134807589349014,-2.87493864770219
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.2863018552962351,-0.2805024549524876,-23.939379011539025
respSoil15,0.3164773214300309,-0.3147175562417345,-89.1842280583221
respSoil29,0.22154254984699856,-0.21182389183003464,-10.654768652716866
respSoil43,0.2578911104582353,-0.24024781999730557,-6.569473390482019
respSoil71,0.23982915009536362,-0.22140583963220206,-5.768457400673392
respSoil99,0.19341749066494493,-0.1821577365752976,-7.84822154643142
respSoil127,0.12092122099333555,-0.11582272598901637,-11.125925256647966
respSoil155,0.12632352394729782,-0.11995817796720176,-9.24036035241079
respSubstrate1,0.06933126865046865,-0.05922156778528994,-2.67089375720105
respSubstrate15,0.07776964374587352,-0.06676979766462542,-2.7560485080736337
respSubstrate29,0.0693160841638437,-0.05941860928264823,-2.698714364716513
respSubstrate43,0.07605229330879253,-0.06551330914214841,-2.7914993587219783
respSubstrate71,0.0777477638927924,-0.06651951980916039,-2.6345577568036043
respSubstrate99,0.08500113993732154,-0.0713568621541977,-2.3050589728007904
respSubstrate127,0.0868464557782325,-0.07439427144082729,-2.649104891921384
respSubstrate155,0.10561465535782127,-0.09099923453361411,-2.801805932402368
PE_1,0.07712270658077441,-0.05486784992277118,-1.025148074112507
PE_15,0.034233281042993544,-0.012350603817795461,-0.14982086554056262
PE_29,0.062213019397047174,-0.025134049276970882,-0.19523361994088662
PE_43,0.1259116709131108,-0.0996657727984883,-1.6789058674301884
PE_71,0.07984208926003918,0.007153210287255629,-0.008015815096944046
PE_99,0.06830117827014776,-0.02550443868922416,-0.1622833865808302
PE_127,0.046775196167440636,-0.03248657446099553,-0.9339097156403986
PE_155,0.05943660361247077,-0.0461355161035724,-1.5326563269635782
Mean EF,,,-7.280327865852545
