        
        4072 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -141.47536290880225
        mean EF = -10.756259832917282
        Calibration ran for 16:52:20
                     Variable      RMSE      Bias         EF
0          POMSoil155  1.422321  0.890461  -0.651994
1         MAOMSoil155  1.792040  0.875090  -0.313249
2     POMSubstrate155  0.006349 -0.005456  -2.823572
3    MAOMSubstrate155  0.001635 -0.000827   0.976790
4         bactSoil155  2.825564 -1.611502 -31.232776
5        fungiSoil155  0.128122  0.115874  -4.507417
6    bactSubstrate155  0.067585 -0.053127  -1.580043
7   fungiSubstrate155  0.043754 -0.033254  -1.366988
8           respSoil1  0.298176  0.290613 -26.051020
9          respSoil15  0.063857 -0.053008  -2.671647
10         respSoil29  0.149676 -0.133605  -4.319800
11         respSoil43  0.274473 -0.255727  -7.574155
12         respSoil71  0.342016 -0.329355 -12.765087
13         respSoil99  0.342539 -0.335820 -26.751384
14        respSoil127  0.299818 -0.297135 -73.546359
15        respSoil155  0.321082 -0.317942 -65.157295
16     respSubstrate1  0.039846 -0.033057  -0.212514
17    respSubstrate15  0.020209 -0.015132   0.746382
18    respSubstrate29  0.014182 -0.008807   0.845174
19    respSubstrate43  0.019266 -0.015241   0.756696
20    respSubstrate71  0.022509 -0.016471   0.695349
21    respSubstrate99  0.040814 -0.030351   0.238011
22   respSubstrate127  0.047574 -0.039683  -0.095020
23   respSubstrate155  0.072436 -0.062048  -0.788319
24            Mean EF       NaN       NaN -10.756260
        
