treatment,day,DOM_added,respSoil,respSubstrate,resp,baselineRespbulk,respDOM,respPriming,DOMSoil,DOMSubstrate,POMSoil,POMSubstrate,MAOMSoil,MAOMSubstrate,CN_DOM,CN_MAOM,bactSoil,bactSubstrate,fungiSoil,fungiSubstrate,MB,rhiz,bulk,fungi,bact,FB,treatmentID,setID
control,0,0.00000,0.28089,0.00000,0.28089,0.17931,0.02554,0.07604,0.02276,0.00000,16.28388,0.00000,31.70881,0.00000,25.93660,15.00000,82.49933,0.00000,40.01192,0.00000,122.51124,30.83324,91.67800,40.01192,82.49933,0.48500,1,1
control,1,0.00000,0.27863,0.00000,0.27863,0.18052,0.02549,0.07261,0.02278,0.00000,16.27778,0.00000,31.70763,0.00000,21.68900,15.00000,82.79702,0.00000,40.26585,0.00000,123.06287,30.77028,92.29259,40.26585,82.79702,0.48632,1,1
control,2,0.00000,0.27652,0.00000,0.27652,0.18173,0.02544,0.06935,0.02281,0.00000,16.27172,0.00000,31.70649,0.00000,18.66635,15.00000,83.09304,0.00000,40.51799,0.00000,123.61102,30.70825,92.90278,40.51799,83.09304,0.48762,1,1
control,3,0.00000,0.27454,0.00000,0.27454,0.18294,0.02539,0.06622,0.02284,0.00000,16.26568,0.00000,31.70536,0.00000,16.40624,15.00000,83.38741,0.00000,40.76835,0.00000,124.15576,30.64715,93.50860,40.76835,83.38741,0.48890,1,1
control,4,0.00000,0.27267,0.00000,0.27267,0.18413,0.02534,0.06320,0.02287,0.00000,16.25967,0.00000,31.70425,0.00000,14.65306,15.00000,83.68017,0.00000,41.01695,0.00000,124.69712,30.58702,94.11009,41.01695,83.68017,0.49016,1,1
control,5,0.00000,0.27089,0.00000,0.27089,0.18531,0.02529,0.06029,0.02291,0.00000,16.25368,0.00000,31.70317,0.00000,13.25400,15.00000,83.97135,0.00000,41.26379,0.00000,125.23515,30.52787,94.70728,41.26379,83.97135,0.49140,1,1
control,6,0.00000,0.26920,0.00000,0.26920,0.18649,0.02524,0.05747,0.02294,0.00000,16.24772,0.00000,31.70210,0.00000,12.11210,15.00000,84.26100,0.00000,41.50890,0.00000,125.76991,30.46972,95.30018,41.50890,84.26100,0.49262,1,1
control,7,0.00000,0.26758,0.00000,0.26758,0.18766,0.02519,0.05474,0.02299,0.00000,16.24177,0.00000,31.70105,0.00000,11.16283,15.00000,84.54915,0.00000,41.75229,0.00000,126.30144,30.41260,95.88884,41.75229,84.54915,0.49382,1,1
control,8,0.00000,0.26604,0.00000,0.26604,0.18882,0.02514,0.05208,0.02303,0.00000,16.23584,0.00000,31.70002,0.00000,10.36160,15.00000,84.83584,0.00000,41.99397,0.00000,126.82981,30.35652,96.47328,41.99397,84.83584,0.49500,1,1
control,9,0.00000,0.26455,0.00000,0.26455,0.18997,0.02510,0.04949,0.02308,0.00000,16.22993,0.00000,31.69901,0.00000,9.67661,15.00000,85.12110,0.00000,42.23395,0.00000,127.35505,30.30152,97.05354,42.23395,85.12110,0.49616,1,1
