\        
        8494 parameter sets accepted out of 10000 tries
        converged = False
        best likelihood = -286.6200550289392
        mean EF = -7.466610674053453
        Calibration ran for 15:18:42
                     Variable      RMSE      Bias          EF
0          POMSoil155  1.147088  0.344660   -0.074501
1         MAOMSoil155  1.657016  0.588401   -0.122806
2     POMSubstrate155  0.006349 -0.005456   -2.823572
3    MAOMSubstrate155  0.002057 -0.000713    0.963281
4         bactSoil155  5.732329 -5.710100 -131.662960
5        fungiSoil155  0.057107  0.011101   -0.094155
6    bactSubstrate155  0.130453  0.089144   -8.612386
7   fungiSubstrate155  0.038557 -0.027968   -0.838153
8           respSoil1  0.155676  0.145004   -6.373622
9          respSoil15  0.066400 -0.055494   -2.969881
10         respSoil29  0.070224 -0.006432   -0.171011
11         respSoil43  0.084969 -0.039097    0.178305
12         respSoil71  0.121052 -0.051679   -0.724357
13         respSoil99  0.089230 -0.039770   -0.883176
14        respSoil127  0.060510  0.002811   -2.036453
15        respSoil155  0.064513 -0.022038   -1.670789
16     respSubstrate1  0.069614 -0.059470   -2.700867
17    respSubstrate15  0.078000 -0.066973   -2.778375
18    respSubstrate29  0.069551 -0.059630   -2.723842
19    respSubstrate43  0.076207 -0.065654   -2.806921
20    respSubstrate71  0.077729 -0.066507   -2.632812
21    respSubstrate99  0.084746 -0.071194   -2.285218
22   respSubstrate127  0.086424 -0.074073   -2.613679
23   respSubstrate155  0.104763 -0.090279   -2.740707
24            Mean EF       NaN       NaN   -7.466611
        
