        
        305 parameter sets accepted out of 20000 tries
        converged = False
        best likelihood = -3724.335308883588
        mean EF = -0.8408307395098323
        Calibration ran for 13:03:13
                     Variable       RMSE       Bias        EF
0          POMSoil155   1.097551   0.109119  0.016300
1         MAOMSoil155   1.726117   0.730946 -0.218407
2     POMSubstrate155   0.006349  -0.005456 -2.823572
3    MAOMSubstrate155   0.001461  -0.000527  0.981474
4               MB155  23.401817 -11.672280 -0.692823
5               FB155   0.163963  -0.046130 -0.326594
6    bactSubstrate155        NaN        NaN       NaN
7   fungiSubstrate155        NaN        NaN       NaN
8           respSoil1   0.055475  -0.019314  0.063675
9          respSoil15   0.084390  -0.079823 -5.412482
10         respSoil29   0.062635  -0.000462  0.068420
11         respSoil43   0.091921  -0.048146  0.038348
12         respSoil71   0.102570  -0.059957 -0.238013
13         respSoil99   0.082664  -0.049603 -0.616210
14        respSoil127   0.037829   0.006415 -0.186752
15        respSoil155   0.043127  -0.007220 -0.193540
16     respSubstrate1   0.057516  -0.048776 -1.526325
17    respSubstrate15   0.065416  -0.055898 -1.657555
18    respSubstrate29   0.056281  -0.047886 -1.438394
19    respSubstrate43   0.062020  -0.053223 -1.521481
20    respSubstrate71   0.061864  -0.052537 -1.301182
21    respSubstrate99   0.067789  -0.055868 -1.102070
22   respSubstrate127   0.067271  -0.057211 -1.189481
23   respSubstrate155   0.084098  -0.072249 -1.410544
24                PE1   0.063571  -0.041067 -0.375954
25               PE15   0.030381   0.016260  0.094396
26               PE29   0.055428   0.011060  0.051267
27               PE43   0.091173  -0.071059 -0.404610
28               PE71   0.071055   0.017234  0.201645
29               PE99   0.072524  -0.033184 -0.310463
30              PE127   0.054014  -0.040027 -1.578827
31              PE155   0.066968  -0.053295 -2.215167
32            Mean EF        NaN        NaN -0.840831
        
