Variable,RMSE,Bias,EF
POMSoil155,1.088152369617806,-0.1828492699572696,0.0330752665211127
MAOMSoil155,1.5939018173942459,0.3149621895996608,-0.03890252825661955
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.005235749627634147,-0.004405076940716586,0.7620923299269609
MB155,132.02872619918386,130.8005337155675,-63.654964397210065
FB155,0.24619524755195993,-0.19460720907455373,-1.941378884390348
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.19064778415978512,0.1775681567452969,-8.51233191577956
respSoil15,0.10762221835832025,0.07633489799233746,-9.431191952241107
respSoil29,0.15220682615334136,0.09040451993886751,-4.604903531323942
respSoil43,0.09934474888891327,0.028810002319289808,-0.2381366042199775
respSoil71,0.08579765249364203,-0.009350997337895394,0.05209829183246395
respSoil99,0.06727438825816752,0.03317119731054876,-0.33227401957945846
respSoil127,0.12662313115588494,0.12235354147598247,-14.977977811528067
respSoil155,0.12225162472664203,0.11501991050389414,-8.391498264408447
respSubstrate1,0.045105526438470295,-0.0382513992155757,-0.620230552550139
respSubstrate15,0.0641106345265319,-0.05473989997994865,-1.55382406465441
respSubstrate29,0.05854490574290615,-0.04985668579044955,-1.6059842567338434
respSubstrate43,0.06471833274454865,-0.05563845502379922,-1.7433892623503837
respSubstrate71,0.06311424403028049,-0.05352529507691069,-1.4073352515721864
respSubstrate99,0.07094505636760474,-0.058328878204991455,-1.1334616657451795
respSubstrate127,0.06580232863270127,-0.05592192119426794,-1.1473342275789737
respSubstrate155,0.08329677312384179,-0.07159289421102653,-1.3788623062212686
PE1,0.10074321423775871,-0.07717253997192433,-2.1147383394237966
PE15,0.12944934216810874,0.10658353660228093,-14.925630628704743
PE29,0.17570588713277177,0.1282864202165331,-9.71763329748879
PE43,0.07681260419470069,0.0050498814866011404,0.00651385098183388
PE71,0.06873691036026133,0.012289045099817517,0.06576969282099887
PE99,0.06881621176867592,-0.03609686902255606,-0.39511016425002876
PE127,0.04519644676844649,-0.03244844567977993,-1.19945193034467
PE155,0.06464136481641378,-0.05047209294014363,-1.785436886699979
Mean EF,,,-5.1585335011475575
