0.30013,0.08039,13.02965,0.01009,0.01002,497.98909,15868.66232,5.98464,20.00424,0.39985,0.39804,0.39986,2.02491,0.59888,0.60050,0.60192,0.99960,0.99849,0.00060,0.00598,0.00020,0.06952,0.02985,0.79691,0.00999,0.89345,7.98442,3.99463,199.68471,0.69265,0.70071,15.09049,30.09384
0.29805,0.08075,13.00890,0.01010,0.00997,500.98954,15984.44572,6.02103,19.89264,0.40230,0.39942,0.40056,2.03086,0.60598,0.60241,0.60158,1.00274,0.99039,0.00060,0.00598,0.00020,0.06959,0.02969,0.79730,0.00572,0.89716,8.04134,3.99027,199.66819,0.69412,0.70490,15.05105,30.28073
0.29678,0.08086,12.99121,0.01011,0.00991,503.00896,15882.96686,5.98004,19.78013,0.39990,0.39741,0.40262,2.05162,0.60571,0.59951,0.60113,1.00766,0.99376,0.00061,0.00597,0.00020,0.06957,0.02972,0.79681,0.00042,0.89454,8.06848,4.00296,199.32455,0.70101,0.69984,15.03901,30.49279
0.29514,0.08082,12.91530,0.01009,0.00987,499.75367,15956.26589,5.97487,19.95561,0.39930,0.39881,0.40115,2.06423,0.60512,0.59573,0.60209,1.01863,0.98853,0.00060,0.00594,0.00020,0.07000,0.03000,0.79921,0.00032,0.89327,8.01421,4.00720,197.23231,0.69890,0.69145,15.10083,30.70171
0.29269,0.08038,13.07136,0.01011,0.00994,498.61993,15820.37622,5.94825,19.94420,0.39833,0.40293,0.39985,2.07162,0.60132,0.59500,0.60090,1.01748,0.97818,0.00061,0.00597,0.00020,0.07015,0.03002,0.79887,0.00046,0.89680,8.05085,4.01051,197.36047,0.69435,0.69137,15.15935,30.71371
0.29329,0.08027,13.17842,0.01004,0.00992,496.37675,15715.73833,5.90830,19.89563,0.39874,0.40337,0.39658,2.05432,0.60066,0.59224,0.60381,1.00998,0.97926,0.00061,0.00599,0.00020,0.07039,0.03003,0.79512,0.00007,0.89631,8.08184,3.98091,197.18462,0.69648,0.69243,15.21945,30.46450
0.29081,0.08001,13.16699,0.01011,0.00988,493.50495,15620.95460,5.87195,20.04332,0.39710,0.40206,0.39573,2.05142,0.59829,0.59227,0.59865,1.01250,0.97190,0.00061,0.00602,0.00020,0.07020,0.03014,0.79201,0.00010,0.89431,8.05824,3.97793,196.40319,0.69585,0.70018,15.29615,30.40603
0.29021,0.08006,13.14773,0.01011,0.00989,497.39838,15546.62822,5.88541,20.02381,0.39369,0.40025,0.39370,2.04801,0.59720,0.59232,0.60208,1.00462,0.96615,0.00061,0.00602,0.00020,0.07054,0.03052,0.79174,0.00004,0.89158,8.05357,3.99667,195.14240,0.69860,0.70779,15.41468,30.33187
0.28865,0.07938,13.21062,0.01015,0.00997,497.45781,15426.14283,5.89679,20.01747,0.39346,0.39741,0.39525,2.06162,0.59342,0.59791,0.60262,1.01386,0.96840,0.00061,0.00602,0.00020,0.07080,0.03026,0.78632,0.00021,0.89103,8.00753,3.99856,196.08645,0.69985,0.70644,15.44085,30.33600
0.28683,0.07982,13.23859,0.01014,0.01004,500.58816,15395.13330,5.84240,19.92301,0.39027,0.39406,0.39366,2.07384,0.59451,0.60314,0.60205,1.02093,0.96839,0.00061,0.00598,0.00020,0.07104,0.03035,0.78285,0.00007,0.89065,7.97426,3.98681,194.74254,0.69984,0.71388,15.49101,30.28887
