Variable,RMSE,Bias,EF
POMSoil155,1.0972586161904376,-0.053982859498542236,0.016824053888535362
MAOMSoil155,1.5998382464182452,0.3379345744246578,-0.04665564846579273
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.003169288920537976,-0.0025201145895925943,0.912828530427395
MB155,130.78326194740927,129.07528727196032,-43.893535356895434
FB155,0.373185629096436,-0.3429425464439458,-5.707757229038784
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.20634511884926418,-0.20101647100064307,-13.847983461438893
respSoil15,0.20549789393127907,-0.20377665452748578,-31.484720880197735
respSoil29,0.08523747420459919,-0.058509215961499064,-0.8726808497286347
respSoil43,0.08363623650392848,-0.027156892144519475,0.1469181542408361
respSoil71,0.08442529200953781,-0.006126622381924364,0.15012156309747826
respSoil99,0.07727821182936685,0.038616380569178405,-0.33951536595191234
respSoil127,0.12218950463110421,0.11695198760513094,-11.348378139421833
respSoil155,0.1225984231622105,0.11746274937947478,-11.930714728803322
respSubstrate1,0.01306642032302441,0.00602210463453423,0.8609916059187728
respSubstrate15,0.0654745686101099,-0.055940453109943736,-1.6284135656711833
respSubstrate29,0.060853256509062426,-0.05184602634314748,-1.8066692387676473
respSubstrate43,0.06618076358730554,-0.05688933487779849,-1.9231304280376085
respSubstrate71,0.06268242824234936,-0.05340466103893919,-1.543478250094354
respSubstrate99,0.06471210798872354,-0.05463801785735682,-1.29708408813226
respSubstrate127,0.06852524111033682,-0.05806736759568455,-1.2394730612671467
respSubstrate155,0.08392706679151893,-0.07217627305708053,-1.4573344191461741
PE1,0.04316961940382611,-0.0022261152365757623,0.3333229028735304
PE15,0.025170860853588693,-0.005399396978592148,0.4607795026562811
PE29,0.051608010680927165,0.0029617581927072374,0.04867014573707784
PE43,0.06626296681581273,-0.03563926431977199,0.20539183216998225
PE71,0.08388631076068376,0.03908931302371739,0.03413932706548606
PE99,0.06923685389236069,-0.024215735090558008,-0.14540836108582145
PE127,0.04686942263968687,-0.033198723198977764,-1.0762428103986204
PE155,0.0538991971650605,-0.04328729610099306,-2.0239719919930352
Mean EF,,,-4.44222439932383
