        
        4164 parameter sets accepted out of 15000 tries
        converged = False
        best likelihood = -3424.7414499323017
        mean EF = -4.44222439932383
        Calibration ran for 08:54:39
                     Variable        RMSE        Bias         EF
0          POMSoil155    1.097259   -0.053983   0.016824
1         MAOMSoil155    1.599838    0.337935  -0.046656
2     POMSubstrate155    0.006349   -0.005456  -2.823572
3    MAOMSubstrate155    0.003169   -0.002520   0.912829
4               MB155  130.783262  129.075287 -43.893535
5               FB155    0.373186   -0.342943  -5.707757
6    bactSubstrate155         NaN         NaN        NaN
7   fungiSubstrate155         NaN         NaN        NaN
8           respSoil1    0.206345   -0.201016 -13.847983
9          respSoil15    0.205498   -0.203777 -31.484721
10         respSoil29    0.085237   -0.058509  -0.872681
11         respSoil43    0.083636   -0.027157   0.146918
12         respSoil71    0.084425   -0.006127   0.150122
13         respSoil99    0.077278    0.038616  -0.339515
14        respSoil127    0.122190    0.116952 -11.348378
15        respSoil155    0.122598    0.117463 -11.930715
16     respSubstrate1    0.013066    0.006022   0.860992
17    respSubstrate15    0.065475   -0.055940  -1.628414
18    respSubstrate29    0.060853   -0.051846  -1.806669
19    respSubstrate43    0.066181   -0.056889  -1.923130
20    respSubstrate71    0.062682   -0.053405  -1.543478
21    respSubstrate99    0.064712   -0.054638  -1.297084
22   respSubstrate127    0.068525   -0.058067  -1.239473
23   respSubstrate155    0.083927   -0.072176  -1.457334
24                PE1    0.043170   -0.002226   0.333323
25               PE15    0.025171   -0.005399   0.460780
26               PE29    0.051608    0.002962   0.048670
27               PE43    0.066263   -0.035639   0.205392
28               PE71    0.083886    0.039089   0.034139
29               PE99    0.069237   -0.024216  -0.145408
30              PE127    0.046869   -0.033199  -1.076243
31              PE155    0.053899   -0.043287  -2.023972
32            Mean EF         NaN         NaN  -4.442224
        
