        
        3 parameter sets accepted out of 5 tries
        converged = False
        best likelihood = -3715.36534526853
        mean EF = -1.1520296200972455
        Calibration ran for 00:01:36
                     Variable       RMSE      Bias         EF
0          POMSoil155   1.083657  0.133461   0.041048
1         MAOMSoil155   1.723168  0.724862  -0.214247
2     POMSubstrate155   0.006349 -0.005456  -2.823572
3    MAOMSubstrate155   0.002191  0.001477   0.958330
4               MB155  21.394612 -1.909706  -0.414885
5               FB155   0.169257 -0.059759  -0.413645
6    bactSubstrate155        NaN       NaN        NaN
7   fungiSubstrate155        NaN       NaN        NaN
8           respSoil1   0.092252 -0.076506  -1.589315
9          respSoil15   0.125663 -0.122442 -13.218791
10         respSoil29   0.069158 -0.027850  -0.135744
11         respSoil43   0.098060 -0.066082  -0.094410
12         respSoil71   0.099179 -0.061926  -0.157521
13         respSoil99   0.079122 -0.039888  -0.480691
14        respSoil127   0.033266  0.005195   0.082266
15        respSoil155   0.042071 -0.013000  -0.135854
16     respSubstrate1   0.060715 -0.051602  -1.815198
17    respSubstrate15   0.068830 -0.058885  -1.942186
18    respSubstrate29   0.060061 -0.051199  -1.776963
19    respSubstrate43   0.066135 -0.056799  -1.867122
20    respSubstrate71   0.066291 -0.056425  -1.642305
21    respSubstrate99   0.072189 -0.059727  -1.383831
22   respSubstrate127   0.072088 -0.061416  -1.514248
23   respSubstrate155   0.088861 -0.076409  -1.691323
24                PE1   0.062125 -0.039396  -0.314095
25               PE15   0.033466  0.020298  -0.098854
26               PE29   0.058169  0.018691  -0.044893
27               PE43   0.069090 -0.048916   0.193405
28               PE71   0.077468  0.046621   0.051040
29               PE99   0.066747  0.000458  -0.110006
30              PE127   0.039606 -0.023737  -0.386515
31              PE155   0.060462 -0.047096  -1.620764
32            Mean EF        NaN       NaN  -1.152030
        
