Variable,RMSE,Bias,EF
POMSoil155,1.0836571116760338,0.13346101492936877,0.04104767581734914
MAOMSoil155,1.7231684937259963,0.7248624802936083,-0.21424734450071492
POMSubstrate155,0.00634870846553591,-0.005455696166666666,-2.8235717232540782
MAOMSubstrate155,0.0021912290215364673,0.001477188225984349,0.958329736636622
MB155,21.394611689521952,-1.9097064345658652,-0.4148848856153733
FB155,0.16925730933125882,-0.05975929491913381,-0.4136449447239188
bactSubstrate155,,,
fungiSubstrate155,,,
respSoil1,0.09225157663519773,-0.07650621436567405,-1.5893151070686473
respSoil15,0.12566335127392142,-0.12244163658809508,-13.218791275054478
respSoil29,0.06915848921520168,-0.02785044021900155,-0.13574374121433652
respSoil43,0.09806039210542739,-0.06608221845980204,-0.09441030361986869
respSoil71,0.0991794296315894,-0.061926269662307964,-0.15752125862974298
respSoil99,0.07912249452232431,-0.03988786463142894,-0.4806910145501617
respSoil127,0.03326622305439445,0.005194570922056394,0.08226598283724729
respSoil155,0.042071480771959026,-0.012999897183712885,-0.13585363112701887
respSubstrate1,0.060715243581484446,-0.051602458483840076,-1.815198383249871
respSubstrate15,0.06883028136405908,-0.05888505796719595,-1.9421855833192545
respSubstrate29,0.060061157119046554,-0.05119900256359825,-1.776963318365529
respSubstrate43,0.06613478172784788,-0.05679890359660926,-1.8671222234068527
respSubstrate71,0.06629084996717201,-0.05642539054256174,-1.6423049318143552
respSubstrate99,0.07218931215968652,-0.05972711509022105,-1.383831315128646
respSubstrate127,0.07208799896187924,-0.06141634049055415,-1.5142478591763529
respSubstrate155,0.08886118692775422,-0.07640852307428989,-1.6913228047460351
PE1,0.062125113339837765,-0.03939633672220015,-0.31409464774842966
PE15,0.03346596355914905,0.020298322212008703,-0.09885351580186841
PE29,0.05816888645180606,0.018691458682231786,-0.04489281189218408
PE43,0.06908995204208779,-0.04891592583314951,0.1934054906917101
PE71,0.07746796184384563,0.046620524702151625,0.05104018869862159
PE99,0.06674748509024638,0.0004577255501103633,-0.11000632265196564
PE127,0.0396058944854458,-0.02373742240595797,-0.3865151279108021
PE155,0.06046161982426137,-0.047096067166718845,-1.6207636030284363
Mean EF,,,-1.1520296200972455
