        
        3828 parameter sets accepted out of 15000 tries
        converged = False
        best likelihood = -10011.866761005816
        mean EF = -5.709017604487808
        Calibration ran for 09:08:03
                     Variable        RMSE        Bias         EF
0          POMSoil155    1.222340   -0.286837   0.030441
1         MAOMSoil155    1.695805    0.019687  -0.001701
2     POMSubstrate155    0.006458   -0.005551  -2.830258
3    MAOMSubstrate155    0.005074   -0.004295   0.784452
4               MB155  136.681160  135.460084 -70.203498
5               FB155    0.242867   -0.195901  -2.017487
6    bactSubstrate155         NaN         NaN        NaN
7   fungiSubstrate155         NaN         NaN        NaN
8           respSoil1    0.178867    0.165748  -7.830190
9          respSoil15    0.103644    0.080179 -15.373524
10         respSoil29    0.158305    0.089154  -6.402654
11         respSoil43    0.095434    0.038826   0.134467
12         respSoil71    0.090353   -0.015194   0.023723
13         respSoil99    0.078251    0.045934  -0.546280
14        respSoil127    0.123406    0.117558 -10.410200
15        respSoil155    0.123661    0.115089  -7.051018
16     respSubstrate1    0.047444   -0.039673  -0.653003
17    respSubstrate15    0.064275   -0.054812  -1.553639
18    respSubstrate29    0.058381   -0.050086  -1.668152
19    respSubstrate43    0.065027   -0.055847  -1.730232
20    respSubstrate71    0.063456   -0.053752  -1.395202
21    respSubstrate99    0.068524   -0.056632  -1.130616
22   respSubstrate127    0.067416   -0.057476  -1.185688
23   respSubstrate155    0.084252   -0.072329  -1.378450
24                PE1    0.103380   -0.079761  -2.168309
25               PE15    0.117246    0.097626 -24.458818
26               PE29    0.182106    0.135244  -9.536834
27               PE43    0.065255    0.006498   0.342821
28               PE71    0.074990    0.002320   0.065822
29               PE99    0.067404   -0.028400  -0.229036
30              PE127    0.051480   -0.036113  -1.087577
31              PE155    0.066343   -0.051972  -1.809889
32            Mean EF         NaN         NaN  -5.709018
        
