        
        4075 parameter sets accepted out of 15000 tries
        converged = False
        best likelihood = -3504.588921566184
        mean EF = -4.247637120139006
        Calibration ran for 08:50:15
                     Variable        RMSE        Bias         EF
0          POMSoil155    1.147855   -0.058635   0.008875
1         MAOMSoil155    1.898866    0.884749  -0.277772
2     POMSubstrate155    0.006360   -0.005473  -2.853078
3    MAOMSubstrate155    0.005911   -0.004965   0.691608
4               MB155  117.349731  115.781700 -38.219972
5               FB155    0.302271   -0.270560  -4.340764
6    bactSubstrate155         NaN         NaN        NaN
7   fungiSubstrate155         NaN         NaN        NaN
8           respSoil1    0.219152   -0.214623 -18.135833
9          respSoil15    0.225745   -0.224031 -41.029173
10         respSoil29    0.090933   -0.065922  -0.751032
11         respSoil43    0.081227   -0.042376   0.141713
12         respSoil71    0.093804   -0.023772   0.127133
13         respSoil99    0.069674    0.009563  -0.024098
14        respSoil127    0.092162    0.085615  -6.607004
15        respSoil155    0.092973    0.084546  -5.085720
16     respSubstrate1    0.013578    0.004266   0.860874
17    respSubstrate15    0.064078   -0.054945  -1.565668
18    respSubstrate29    0.058726   -0.050026  -1.689497
19    respSubstrate43    0.065392   -0.056164  -1.805888
20    respSubstrate71    0.064055   -0.054264  -1.415274
21    respSubstrate99    0.069409   -0.056751  -1.077048
22   respSubstrate127    0.067540   -0.057571  -1.167772
23   respSubstrate155    0.084885   -0.072957  -1.370888
24                PE1    0.039839   -0.004041   0.292870
25               PE15    0.027662   -0.007262   0.347309
26               PE29    0.053573    0.012777   0.181386
27               PE43    0.054530   -0.028038   0.493264
28               PE71    0.080995    0.032302   0.109095
29               PE99    0.073823   -0.029859  -0.202190
30              PE127    0.051656   -0.038381  -1.334793
31              PE155    0.064876   -0.050792  -1.729778
32            Mean EF         NaN         NaN  -4.247637
        
